갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2022,신규,22.07~24.07,2022,역삼동,"20,000",강남센트럴아이파크,7,850,1,125.46,0,0,712-1,11680,18
사용,2009,갱신,22.07~24.07,2022,역삼동,"105,000",래미안그레이튼,7,0,1,84.97,"100,000",0,763-16,11680,13
사용,2003,갱신,22.07~23.07,2022,역삼동,"19,950",우림루미아트2,7,0,1,23.9,"19,000",0,706-10,11680,4
,2007,,,2022,역삼동,"125,000",래미안펜타빌,7,100,1,158.58,,,713-7,11680,15
사용,2005,갱신,22.07~24.07,2022,역삼동,"105,000",e-편한세상,7,0,2,84.991,"100,000",0,755-4,11680,13
,2005,갱신,22.08~24.08,2022,역삼동,"113,904",역삼래미안,7,0,2,80.87,"96,000",0,757,11680,7
,2002,,,2022,역삼동,"32,500",대우디오빌,7,0,2,30.03,,,720-25,11680,9
사용,2012,갱신,22.09~24.08,2022,역삼동,"74,500",강남서해더블루,7,0,2,78.57,"71,000",0,796-29,11680,6
,2011,,,2022,역삼동,"50,000",래미안그레이튼(진달래2차),7,300,2,84.87,,,762-3,11680,4
,2009,,,2022,역삼동,"110,000",래미안그레이튼,7,150,2,84.97,,,763-16,11680,8
,2003,신규,22.07~23.07,2022,역삼동,"1,000",우림루미아트1,7,65,2,23.66,0,0,706-11,11680,4
,1996,신규,22.07~24.07,2022,역삼동,"5,000",한스빌(836),7,90,3,41.95,0,0,836,11680,2
사용,2016,갱신,22.07~24.07,2022,역삼동,"109,200",역삼자이,7,0,4,84.993,"104,000",0,711-3,11680,3
,1996,신규,22.08~24.08,2022,역삼동,"31,000",한스빌(836),7,0,4,39.89,0,0,836,11680,3
사용,2019,갱신,22.08~24.08,2022,역삼동,"35,700",강남웅진베어스빌,7,0,4,18.61,"34,000",0,838-10,11680,14
,2016,갱신,22.08~24.08,2022,역삼동,"55,000",역삼자이,7,170,5,59.9977,"50,000",150,711-3,11680,18
사용,2005,갱신,22.09~24.09,2022,역삼동,"118,600",역삼래미안,7,0,5,80.87,"113,000",0,757,11680,3
사용,2006,갱신,22.07~23.07,2022,역삼동,"10,000",개나리래미안,7,400,5,114.65,"10,000",380,754,11680,13
,2003,신규,22.07~23.07,2022,역삼동,500,노블스위트,7,150,5,76.72,0,0,747,11680,7
,2002,갱신,,2022,역삼동,"1,000",대우디오빌,7,95,5,30.03,"1,000",90,720-25,11680,15
,2005,갱신,22.07~24.07,2022,역삼동,"88,000",역삼래미안,7,0,5,59.4,"78,000",0,757,11680,16
,2014,신규,22.07~23.07,2022,역삼동,"1,000",이스턴오피스텔,7,80,6,14.78,0,0,735-15,11680,13
,2006,신규,22.07~22.10,2022,역삼동,"10,000",역삼푸르지오,7,300,6,59.8848,0,0,754-1,11680,9
,2006,,,2022,역삼동,"170,000",역삼I'PARK,7,0,6,116.285,,,713-11,11680,18
,2004,신규,22.07~24.07,2022,역삼동,"30,000",대우디오빌플러스,7,0,6,34.41,0,0,824-25,11680,13
,2001,갱신,22.07~24.07,2022,역삼동,"26,000",한화진넥스빌,7,0,7,39.2,"22,500",0,706-20,11680,7
,2002,,,2022,역삼동,"3,000",대우디오빌,7,190,7,59.505,,,720-25,11680,22
,2001,신규,22.07~23.07,2022,역삼동,"1,000",한화진넥스빌,7,99,7,43.58,0,0,706-20,11680,6
사용,2002,갱신,22.09~23.09,2022,역삼동,"2,000",역삼동하나빌,7,152,8,49.55,"2,000",145,681-26,11680,6
,2002,신규,22.09~24.09,2022,역삼동,"96,000",역삼열성카이스빌,7,0,8,100.8,0,0,836-35,11680,10
,2016,,,2022,역삼동,"115,000",역삼자이,7,0,8,59.9977,,,711-3,11680,20
,2006,신규,22.09~24.09,2022,역삼동,"170,000",역삼I'PARK,7,0,8,116.285,0,0,713-11,11680,18
,2006,갱신,22.07~23.07,2022,역삼동,"72,000",프리우스역삼102동,7,0,8,84.18,"57,000",0,636,11680,7
,2005,신규,22.08~24.08,2022,역삼동,"10,000",e-편한세상,7,330,8,59.606,0,0,755-4,11680,17
사용,2005,갱신,22.08~24.08,2022,역삼동,"89,250",역삼래미안,7,0,8,59.73,"85,000",0,757,11680,5
,2005,,,2022,역삼동,"70,000",e-편한세상,7,140,9,59.606,,,755-4,11680,8
사용,2005,갱신,,2022,역삼동,"70,000",역삼래미안,7,0,9,80.87,"70,000",0,757,11680,14
,2005,갱신,22.09~24.09,2022,역삼동,"10,500",역삼래미안,7,263,9,59.53,"10,000",250,757,11680,1
사용,2016,갱신,22.07~24.07,2022,역삼동,"94,500",역삼자이,7,0,9,59.9977,"90,000",0,711-3,11680,28
,2008,,,2022,역삼동,"120,000",역삼2차아이파크,7,100,9,119.095,,,765-32,11680,4
사용,2001,갱신,22.08~24.07,2022,역삼동,"28,870",한화진넥스빌,7,0,9,43.58,"27,500",0,706-20,11680,18
,2005,,,2022,역삼동,"100,000",역삼래미안,7,0,11,59.4,,,757,11680,13
,2009,신규,,2022,역삼동,"59,150",래미안그레이튼,7,0,11,59.97,0,0,763-16,11680,3
,2009,신규,,2022,역삼동,"59,150",래미안그레이튼,7,0,11,59.97,0,0,763-16,11680,2
,2007,,,2022,역삼동,"100,000",래미안펜타빌,7,320,11,157.37,,,713-7,11680,3
