archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
148.62,0,0,42.58,10200,서원아트빌,,0029,0,20200427,에이동,0,0,,0,공동주택,콘크리트평슬라브,철근콘크리트조,0,0,,4,12.8,8,0,95.41,5,0,0,0,,0050,,0,주건축물,02000,공동주택,11470-12205,10201,138.0,114704142199,11.0,0,서울특별시 양천구 목동중앙북로8길 138-11,11.5,1,0,0,349,0,서울특별시 양천구 목동 29-50번지,20010727,,,,,,2,집합,3,표제부,0,11,10,(철근)콘크리트,,0,11470,,20010806,21,철근콘크리트구조,658.57,658.57,1,20020527,158.61,553.56
187.64,0,0,58.27,10200,레이나,,0030,0,20190530,,0,0,,0,도시형생활주택(단지형 다세대주택),평지붕,철근콘크리트구조,0,0,,6,18.4,14,0,130.87,5,0,0,0,,0013,,0,주건축물,02000,공동주택,11470-100222947,10201,7.0,114704142165,0.0,0,서울특별시 양천구 목동중앙본로22길 7,0,4,0,0,322,0,서울특별시 양천구 목동 30-13번지,20151124,1101,신축허가,3140176,건축과,2015,2,집합,3,표제부,1,12,10,(철근)콘크리트,,1,11470,,20160611,21,철근콘크리트구조,618.16,618.16,0,20161214,191.98,618.16
136.11,0,0,51.36,10200,,,0030,0,20170304,,0,0,,0,"근린생활시설, 단독주택",평 스라브,"철근콘크리트조, 연와조",1,0,,4,12.45,0,0,0,0,0,0,0,,0016,,0,주건축물,04000,제2종근린생활시설,11470-9672,10201,74.0,114703114006,1.0,0,서울특별시 양천구 목동중앙본로 74-1,57.5,5,0,0,265,0,서울특별시 양천구 목동 30-16번지,19940401,,,,,,1,일반,2,일반건축물,0,13,10,(철근)콘크리트,,,11470,,19950312,21,철근콘크리트구조,606.26,606.26,1,19950803,185.96,492.8
82.3,0,0,0,10200,,,0030,0,20200427,,0,0,,0,"근린생활시설, 주택",스라브,"철근콘크리트, 연와조",1,0,,3,0,0,0,0,0,0,0,0,,0018,,0,주건축물,01000,단독주택,11470-14872,10201,74.0,114703114006,0.0,0,서울특별시 양천구 목동중앙본로 74,0,0,0,0,0,0,서울특별시 양천구 목동 30-18번지,,,,,,,1,일반,2,일반건축물,0,14,10,(철근)콘크리트,,0,11470,,,21,철근콘크리트구조,349.09,349.09,1,19901005,0,228.6
91.16,0,0,54.92,10200,,,0030,0,20201028,,0,0,,0,공동주택,(철근)콘크리트,철근콘크리트구조,0,0,,5,17.54,3,1,0,0,0,0,0,,0019,,0,주건축물,02000,공동주택,11470-100223947,10201,3.0,114704142165,0.0,0,서울특별시 양천구 목동중앙본로22길 3,47,3,0,0,166,0,서울특별시 양천구 목동 30-19번지,20160531,1101,신축허가,3140176,건축과,2016,2,집합,3,표제부,0,15,10,(철근)콘크리트,,1,11470,,20160718,21,철근콘크리트구조,283.68,283.68,0,20170309,170.89,283.68
26.45,0,0,0,10200,,,0039,0,20170304,,0,0,,0,주택,초즙,목조,1,0,,1,0,0,0,0,0,0,0,0,,0000,,0,주건축물,01000,단독주택,11470-829,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 39번지,,,,,,,1,일반,2,일반건축물,0,16,90,기타지붕,,,11470,,,51,일반목구조,26.45,26.45,0,,0,26.45
72.73,0,0,0,10200,,,0039,0,20170304,,0,0,,0,주택,초즙,목조,1,0,,1,0,0,0,0,0,0,0,0,,0000,,0,주건축물,01000,단독주택,11470-830,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 39번지,,,,,,,1,일반,2,일반건축물,0,17,90,기타지붕,,,11470,,,51,일반목구조,72.73,72.73,0,,0,72.73
33.06,0,0,0,10200,,,0039,0,20170304,,0,0,,0,주택,초즙,목조,1,0,,1,0,0,0,0,0,0,0,0,,0000,,0,주건축물,01000,단독주택,11470-831,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 39번지,,,,,,,1,일반,2,일반건축물,0,18,90,기타지붕,,,11470,,,51,일반목구조,33.06,33.06,0,,0,33.06
42.98,0,0,0,10200,,,0040,0,20200427,,0,0,,0,주택,초즙,목조,1,0,,1,0,0,0,0,0,0,0,0,,0000,,0,주건축물,01000,단독주택,11470-15173,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 40번지,,,,,,,1,일반,2,일반건축물,0,19,90,기타지붕,,0,11470,,,51,일반목구조,42.98,42.98,0,,0,42.98
29.75,0,0,0,10200,,,0040,0,20170304,,0,0,,0,주택,세멘트기와즙,목조,1,0,,1,0,0,0,0,0,0,0,0,,0002,,0,주건축물,01000,단독주택,11470-5863,,0.0,,0.0,0,,0,0,0,0,0,0,서울특별시 양천구 목동 40-2번지,,,,,,,1,일반,2,일반건축물,0,20,20,기와,,,11470,,,51,일반목구조,29.75,29.75,0,19880914,0,29.75
129.72,0,0,58.67,10200,대명시티빌,,0041,0,20190530,,0,0,,0,공동주택(다세대주택),(철근)콘크리트,철근콘크리트구조,0,0,,4,11.6,8,0,104.64,6,0,0,0,,0002,,0,주건축물,02000,공동주택,11470-18932,10201,35.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 35,23,2,0,0,221.1,0,서울특별시 양천구 목동 41-2번지,20060703,1101,신축허가,3140081,건축과,2006,2,집합,3,표제부,0,21,10,(철근)콘크리트,,1,11470,,20060904,21,철근콘크리트구조,530.86,530.86,1,20070214,192.77,426.22
138.75,0,0,59.78,10200,아이비캐슬,,0041,1,20201006,,0,0,,0,공동주택(도시형생활주택-단지형다세대),경사슬라브,철근콘크리트구조,0,0,,4,14.525,12,1,0,7,0,0,0,,0004,,0,주건축물,02000,공동주택,11470-100218285,10201,29.0,114704142167,6.0,0,서울특별시 양천구 목동중앙본로26길 29-6,0,0,0,0,232.12,0,서울특별시 양천구 목동 41-4번지,20150918,1101,신축허가,3140176,건축과,2015,2,집합,3,표제부,1,22,10,(철근)콘크리트,,1,11470,,20151023,21,철근콘크리트구조,576.17,576.17,1,20160511,185.44,430.45
156.73,0,0,59.85,10200,신우스타힐스,,0041,0,20190530,,0,0,,0,공동주택(도시형생활주택-단지형다세대),(철근)콘크리트,철근콘크리트구조,0,0,,6,17.1,11,0,138.18,8,0,0,0,,0006,,0,주건축물,02000,공동주택,11470-100215666,10201,39.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 39,0,0,0,0,261.88,0,서울특별시 양천구 목동 41-6번지,20150617,1101,신축허가,3140176,건축과,2015,2,집합,3,표제부,1,23,10,(철근)콘크리트,,1,11470,,20150617,21,철근콘크리트구조,523.68,523.68,0,20151104,199.97,523.68
148.48,0,0,40.77,10200,,,0041,0,20170304,,0,0,,0,공동주택,평스라브,철근콘크리트조,0,0,,4,12.8,10,0,0,0,0,0,0,,0010,,0,주건축물,02000,공동주택,11470-19743,10201,39.0,114704142167,4.0,0,서울특별시 양천구 목동중앙본로26길 39-4,80.5,7,0,0,364.2,0,서울특별시 양천구 목동 41-10번지,20020618,,,,,,2,집합,3,표제부,0,24,10,(철근)콘크리트,,,11470,,20020712,21,철근콘크리트구조,658.33,658.33,1,20021119,145.07,528.33
145.95,0,0,35.95,10200,,,0041,0,20170201,,0,0,,0,공동주택,평스라브,철근콘크리트조,0,0,,4,12.95,10,0,0,0,0,0,0,,0011,,0,주건축물,02000,공동주택,11470-7895,10201,39.0,114704142167,6.0,0,서울특별시 양천구 목동중앙본로26길 39-6,80.5,7,0,0,406,0,서울특별시 양천구 목동 41-11번지,20020618,,,,,,2,집합,3,표제부,0,25,10,(철근)콘크리트,,,11470,,20020712,21,철근콘크리트구조,654.96,654.96,1,20021202,129.39,525.32
185.81,0,0,57.35,10200,,,0041,0,20170304,,0,0,,0,다세대주택,콘크리트모임지붕,철근콘크리트조,0,0,,3,10.4,8,0,48.04,3,0,0,0,,0049,,0,주건축물,02000,공동주택,11470-19992,10201,40.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 40,46,4,0,0,324,0,서울특별시 양천구 목동 41-49번지,19971118,,,,,,2,집합,3,표제부,0,26,10,(철근)콘크리트,,,11470,,19971202,21,철근콘크리트구조,602.45,602.45,1,19980424,134.47,435.67
160.28,0,0,59.74,10200,금강파크빌,,0041,0,20190530,,0,0,,0,다세대(8세대),평지붕,철근콘크리트구조,0,0,,5,13.8,8,0,114.7,8,0,0,0,,0050,,0,주건축물,02000,공동주택,11470-16665,10201,42.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 42,0,0,0,0,268.3,0,서울특별시 양천구 목동 41-50번지,20060706,1101,신축허가,3140081,건축과,2006,2,집합,3,표제부,0,27,10,(철근)콘크리트,,1,11470,,20060822,21,철근콘크리트구조,469.58,469.58,0,20061121,175.02,469.58
152,0,0,59.84,10200,다나네스트빌,,0041,1,20190530,,0,0,,0,다세대주택,(철근)콘크리트 (평스라브),철근콘크리트구조,0,0,,4,10.5,7,0,57.5,5,0,0,0,,0051,,0,주건축물,02000,공동주택,11470-13084,10201,48.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 48,23,2,0,0,254,0,서울특별시 양천구 목동 41-51번지,20070614,1101,신축허가,3140081,건축과,2007,2,집합,3,표제부,0,28,10,(철근)콘크리트,,1,11470,,20070725,21,철근콘크리트구조,468.69,468.69,0,20071227,184.52,468.69
117.72,0,0,53.14,10200,,,0041,1,20211102,,0,0,,0,다가구주택,평스라브,철근콘크리트조,8,0,,3,10.2,0,0,0,0,0,0,0,,0058,,0,주건축물,01000,단독주택,11470-7095,10201,35.0,114704142167,1.0,0,서울특별시 양천구 목동중앙본로26길 35-1,0,3,0,0,221.5,0,서울특별시 양천구 목동 41-58번지,19960625,,,,,,1,일반,2,일반건축물,0,29,10,(철근)콘크리트,,0,11470,,19960803,21,철근콘크리트구조,419.04,419.04,1,19961123,141.88,314.28
82.56,0,0,37.87,10200,그린주택,,0041,0,20200427,,0,0,,0,단독주택,평스라브,경량철골구조,1,0,,2,6.2,0,0,0,0,0,0,0,,0060,,0,주건축물,01000,단독주택,11470-100183367,10201,35.0,114704142167,2.0,0,서울특별시 양천구 목동중앙본로26길 35-2,11.5,1,0,0,218,0,서울특별시 양천구 목동 41-60번지,20060728,1201,신축신고,3140081,건축과,2006,1,일반,2,일반건축물,0,30,10,(철근)콘크리트,,0,11470,,20060810,32,경량철골구조,99.45,99.45,0,20080908,45.62,99.45
