archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,engrEpi,engrGrade,engrRat,etcPurps,fmlyCnt,gnBldCert,gnBldGrade,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newOldRegstrGbCd,newOldRegstrGbCdNm,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rnum,sigunguCd,splotNm,stcnsDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
2632.55,4784.02,3,21.01,10200,우성아파트,,0200,0,20171205,0,,0,아파트,0,0,,332,0,0,112,0,0,0,,0000,,5,02000,공동주택,11470-663,10201,143.0,114703114005,0.0,0,0,구대장,서울특별시 양천구 목동중앙로 143,0,102,0,0,12527.3,0,서울특별시 양천구 목동 200번지,,,,,,,2,집합,1,총괄표제부,14,11470,,,34665.5,214,,256.69,32156.37
0,0,0,0,10200,,,0202,0,20200721,0,,0,,0,0,,0,0,0,0,0,0,0,,0016,,3,03000,제1종근린생활시설,11470-100239569,10201,30.0,114704142429,0.0,0,1,신대장,서울특별시 양천구 용왕정길 30,0,0,0,0,0,0,서울특별시 양천구 목동 202-16번지,,,,,,,1,일반,1,총괄표제부,15,11470,,,679.14,0,,0,0
153.18,0,0,0,10200,,,0229,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0001,,2,01000,단독주택,11470-687,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 229-1번지,,,,,,,1,일반,1,총괄표제부,16,11470,,,306.36,0,,0,153.18
115.7,0,0,0,10200,,,0230,0,20210112,0,,0,단독주택,3,0,,0,0,0,0,0,0,0,,0000,,3,01000,단독주택,11470-28,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 230번지,,,,,,,1,일반,1,총괄표제부,17,11470,,,115.7,0,,0,115.7
304.98,0,0,59.92,10200,이호빌,,0231,0,20120821,0,,0,"제2종근린생활시설, 도시형생활주택(단지형다세대)",0,0,,24,1,250.77,20,0,0,0,,0099,,2,02000,공동주택,11470-100198265,,0.0,,0.0,0,1,신대장,,72.6,2,0,0,509,0,서울특별시 양천구 목동 231-99번지,20110602,1101,신축허가,3140136,건축과,2011,2,집합,1,총괄표제부,18,11470,,20110609,1202.76,22,20111125,199.69,1016.4
191.73,0,0,0,10200,,,0232,0,20120821,0,,0,병종주택,6,0,,0,0,0,0,0,0,0,,0000,,6,01000,단독주택,11470-688,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 232번지,,,,,,,1,일반,1,총괄표제부,19,11470,,,191.73,0,,0,191.73
254.55,0,0,0,10200,,,0234,0,20120821,0,,0,단독주택,6,0,,0,0,0,0,0,0,0,,0000,,6,01000,단독주택,11470-689,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 234번지,,,,,,,1,일반,1,총괄표제부,20,11470,,,254.55,0,,0,254.55
92.56,0,0,0,10200,,,0235,0,20210112,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11470-29,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 235번지,,,,,,,1,일반,1,총괄표제부,21,11470,,,92.56,0,,0,92.56
72.73,0,0,0,10200,,,0244,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11470-690,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 244번지,,,,,,,1,일반,1,총괄표제부,22,11470,,,72.73,0,,0,72.73
119,0,0,0,10200,,,0245,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11470-691,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 245번지,,,,,,,1,일반,1,총괄표제부,23,11470,,,119,0,,0,119
168.6,0,0,0,10200,,,0280,0,20120821,0,,0,단독주택,4,0,,0,0,0,0,0,0,0,,0000,,4,01000,단독주택,11470-30,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 280번지,,,,,,,1,일반,1,총괄표제부,24,11470,,,168.6,0,,0,168.6
244.62,0,0,0,10200,,,0281,0,20120821,0,,0,단독주택,6,0,,0,0,0,0,0,0,0,,0000,,6,01000,단독주택,11470-692,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 281번지,,,,,,,1,일반,1,총괄표제부,25,11470,,,244.62,0,,0,244.62
287.67,0,0,49.12,10200,,,0318,0,20120821,0,,0,단독주택,11,0,,0,0,160.45,6,0,0,0,,0004,,2,01000,단독주택,11470-100197961,,0.0,,0.0,0,1,신대장,,76.17,3,0,0,585.59,0,서울특별시 양천구 목동 318-4번지,20101020,1102,증축허가,3140136,건축과,2010,1,일반,1,총괄표제부,26,11470,,20110411,978.76,9,20111110,105.47,617.64
132.48,0,0,0,10200,,,0318,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0007,,2,01000,단독주택,11470-693,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 318-7번지,,,,,,,1,일반,1,총괄표제부,27,11470,,,264.96,0,,0,132.48
107.28,0,0,0,10200,,,0318,0,20111021,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0046,,2,01000,단독주택,11470-31,10201,82.0,114704142178,3.0,0,1,신대장,서울특별시 양천구 목동중앙본로7가길 82-3,0,0,0,0,0,0,서울특별시 양천구 목동 318-46번지,,,,,,,1,일반,1,총괄표제부,28,11470,,,199.35,0,,0,183.15
333.46,134.48,2,0,10200,,,0319,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0001,,2,01000,단독주택,11470-694,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 319-1번지,,,,,,,1,일반,1,총괄표제부,29,11470,,,369.39,0,,0,333.46
