갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2000,,,2020,신정동,"30,000",신정6현대,11,0,1,84.6,,,743-2,11470,2
,1988,,,2020,신정동,"5,000",목동신시가지11,11,100,1,51.48,,,325,11470,2
,2016,,,2020,신정동,"96,000",목동힐스테이트,11,0,1,84.98,,,1323,11470,5
,1987,,,2020,신정동,"75,500",목동신시가지9,11,0,2,106.93,,,312,11470,11
,1987,,,2020,신정동,"64,000",목동신시가지13,11,0,2,98.63,,,327,11470,15
,1987,,,2020,신정동,"44,100",목동신시가지14,11,0,2,74.19,,,329,11470,2
,1987,,,2020,신정동,"78,000",목동신시가지13,11,0,2,124.55,,,327,11470,2
,2003,,,2020,신정동,"58,000",대림아크로빌,11,0,2,113.1,,,324-7,11470,18
,2000,,,2020,신정동,"38,000",목동우성2,11,50,2,84.96,,,337,11470,9
,2021,,,2020,신정동,"55,000",래미안목동아델리체(1326),11,80,2,84.94,,,1326,11470,10
,2016,,,2020,신정동,"2,597",신정숲속마을,11,22,2,39.99,,,1324,11470,16
,2016,,,2020,신정동,"4,928",신정숲속마을,11,9,2,39.99,,,1324,11470,16
,2016,,,2020,신정동,"4,928",신정숲속마을,11,9,2,39.99,,,1324,11470,5
,1999,,,2020,신정동,"75,000",신정현대5,11,0,2,142.69,,,1273,11470,1
,1987,,,2020,신정동,"45,150",목동신시가지9,11,0,3,71.37,,,312,11470,10
,1987,,,2020,신정동,"32,000",목동신시가지8,11,45,3,54.94,,,314,11470,5
,1997,,,2020,신정동,"57,750",목동현대3차,11,0,3,84.77,,,1279,11470,6
,2000,,,2020,신정동,"30,000",학마을1단지,11,0,3,49.99,,,1293,11470,10
,2016,,,2020,신정동,"73,500",목동힐스테이트,11,0,3,84.98,,,1323,11470,2
,2016,,,2020,신정동,"65,000",목동힐스테이트,11,0,3,59.95,,,1323,11470,21
,1988,,,2020,신정동,"55,000",목동신시가지10,11,0,4,70.2,,,311,11470,1
,1988,,,2020,신정동,"10,000",목동신시가지10,11,150,4,70.2,,,311,11470,11
,2001,,,2020,신정동,"25,700",푸른마을2,11,0,4,59.99,,,1281,11470,8
,2011,,,2020,신정동,"56,700",이펜하우스3단지,11,0,4,114.98,,,1316,11470,14
,2000,,,2020,신정동,"26,000",신트리4,11,0,4,59.73,,,1277,11470,8
,2003,,,2020,신정동,"21,000",성은,11,0,4,62.14,,,872-8,11470,5
,1987,,,2020,신정동,"23,000",목동신시가지9,11,85,5,71.37,,,312,11470,9
,1987,,,2020,신정동,"80,850",목동신시가지9,11,0,5,106.93,,,312,11470,11
,1987,,,2020,신정동,"5,000",목동신시가지8,11,116,5,54.94,,,314,11470,7
,1987,,,2020,신정동,"5,000",목동신시가지8,11,116,5,54.94,,,314,11470,7
,2002,,,2020,신정동,"73,000",아이파크,11,0,5,59.82,,,1296,11470,13
,1987,,,2020,신정동,"15,200",수정,11,0,5,47.16,,,733-31,11470,3
,2004,,,2020,신정동,"50,000",제일에비앙101동,11,0,5,82.64,,,990-16,11470,3
,1987,,,2020,신정동,"28,400",목동신시가지10,11,120,5,105.58,,,311,11470,9
,1987,,,2020,신정동,"50,000",목동신시가지14,11,0,5,83.89,,,329,11470,12
,1987,,,2020,신정동,"43,000",목동신시가지14,11,0,5,92.67,,,329,11470,1
,1988,,,2020,신정동,"48,300",목동신시가지14,11,0,5,71.4,,,329,11470,4
,1987,,,2020,신정동,"35,000",목동신시가지13,11,80,5,70.73,,,327,11470,14
,2000,,,2020,신정동,"60,000",목동우성2,11,0,5,113.91,,,337,11470,14
,1997,,,2020,신정동,"94,000",목동현대3차,11,0,5,84.77,,,1279,11470,20
,1999,,,2020,신정동,"40,000",목동우성3,11,0,6,59.69,,,338,11470,15
,1987,,,2020,신정동,"55,000",목동신시가지13,11,0,6,53.9,,,327,11470,8
,1987,,,2020,신정동,"60,000",목동신시가지13,11,25,6,98.63,,,327,11470,9
,1987,,,2020,신정동,"64,500",목동신시가지13,11,0,6,70.73,,,327,11470,6
,1987,,,2020,신정동,"50,000",목동신시가지14,11,120,6,108.28,,,329,11470,4
,1988,,,2020,신정동,"43,000",목동신시가지14,11,0,6,55.02,,,329,11470,6
,1987,,,2020,신정동,"50,000",목동신시가지14,11,120,6,108.28,,,329,11470,4
,1988,,,2020,신정동,"13,000",목동신시가지12,11,56,6,53.46,,,326,11470,9
,2000,,,2020,신정동,"4,000",신정6현대,11,140,6,84.6,,,743-2,11470,13
,2021,,,2020,신정동,"20,000",래미안목동아델리체(1326),11,165,6,84.95,,,1326,11470,10
,2002,,,2020,신정동,"29,000",밀레스트,11,0,6,75.5647,,,891-1,11470,1
,2000,,,2020,신정동,"33,600",신정6현대,11,0,6,84.6,,,743-2,11470,2
,1999,,,2020,신정동,"33,000",신트리1,11,0,6,49.8,,,1259,11470,5
,1999,,,2020,신정동,"20,000",신트리1,11,0,6,49.95,,,1259,11470,5
,1999,,,2020,신정동,"10,000",신트리1,11,70,6,59.42,,,1259,11470,9
,2000,,,2020,신정동,"24,100",신트리4,11,0,6,49.8,,,1277,11470,9
,2001,,,2020,신정동,"24,150",푸른마을2,11,0,6,59.99,,,1281,11470,9
,2001,,,2020,신정동,"10,000",푸른마을2,11,47,6,49.16,,,1281,11470,7
