갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,1997,,,2019,신정동,"43,000",목동현대3차,3,0,1,71.16,,,1279,11470,2
,1999,,,2019,신정동,"24,000",신트리1,3,0,1,49.8,,,1259,11470,12
,2002,,,2019,신정동,"29,000",팰리스필,3,0,1,80.11,,,872-6,11470,11
,2019,,,2019,신정동,"54,000",목동파크자이(101동~108동),3,0,1,84.977,,,1325,11470,5
,2000,,,2019,신정동,"43,000",신트리3,3,0,1,84.8,,,1276,11470,8
,2000,,,2019,신정동,"28,000",신트리4,3,0,1,59.73,,,1277,11470,12
,1999,,,2019,신정동,"56,000",신정현대5,3,0,1,114.24,,,1273,11470,11
,2004,,,2019,신정동,"53,000",이스타팰리스,3,0,1,114.41,,,1007-11,11470,10
,2002,,,2019,신정동,"26,000",밀레스트,3,0,2,67.7833,,,891-1,11470,10
,2000,,,2019,신정동,"27,000",학마을1단지,3,0,2,59.98,,,1293,11470,11
,1988,,,2019,신정동,"27,000",목동신시가지12,3,0,2,53.46,,,326,11470,12
,2005,,,2019,신정동,"48,000",동일하이빌2단지,3,0,2,115.321,,,1311,11470,3
,1995,,,2019,신정동,"42,000",현대,3,0,2,84.84,,,1252,11470,13
,2001,,,2019,신정동,"20,000",푸른마을2,3,0,2,59.99,,,1281,11470,2
,2000,,,2019,신정동,"37,000",목동우성2,3,0,2,84.96,,,337,11470,14
,1997,,,2019,신정동,"25,000",목동현대3차,3,70,2,84.77,,,1279,11470,7
,2019,,,2019,신정동,"52,500",목동파크자이(101동~108동),3,0,2,84.977,,,1325,11470,2
,2011,,,2019,신정동,"25,000",이펜하우스2단지,3,50,2,84.51,,,1322,11470,2
,2011,,,2019,신정동,"28,000",이펜하우스3단지,3,30,2,84.51,,,1316,11470,9
,2011,,,2019,신정동,"38,000",이펜하우스3단지,3,0,2,84.51,,,1316,11470,7
,1987,,,2019,신정동,"63,000",목동신시가지9,3,0,3,106.93,,,312,11470,5
,1987,,,2019,신정동,"63,000",목동신시가지14,3,0,3,108.28,,,329,11470,7
,1987,,,2019,신정동,"33,000",목동신시가지8,3,0,4,54.94,,,314,11470,15
,1987,,,2019,신정동,"33,000",목동신시가지8,3,0,4,54.94,,,314,11470,10
,1988,,,2019,신정동,"41,000",목동신시가지14,3,16,4,83.31,,,329,11470,14
,1987,,,2019,신정동,"39,000",목동신시가지13,3,15,4,70.73,,,327,11470,2
,1988,,,2019,신정동,"33,000",목동신시가지11,3,0,4,66.24,,,325,11470,14
,1988,,,2019,신정동,"21,000",목동신시가지11,3,0,4,51.48,,,325,11470,15
,1988,,,2019,신정동,"23,500",목동신시가지11,3,0,4,51.48,,,325,11470,8
,1992,,,2019,신정동,"47,000",대림,3,0,4,84.89,,,333,11470,8
,2002,,,2019,신정동,"95,000",아이파크,3,0,4,114.756,,,1296,11470,12
,2016,,,2019,신정동,"68,000",목동힐스테이트,3,0,4,84.98,,,1323,11470,5
,2006,,,2019,신정동,"42,000",세양청마루,3,0,4,84.98,,,1306,11470,13
,2002,,,2019,신정동,"17,000",아이파크,3,135,4,84.88,,,1296,11470,13
,2000,,,2019,신정동,"28,000",신트리4,3,0,4,59.73,,,1277,11470,14
,2001,,,2019,신정동,"18,000",푸른마을2,3,10,4,49.16,,,1281,11470,10
,1997,,,2019,신정동,"52,000",목동현대3차,3,0,4,84.77,,,1279,11470,18
,1997,,,2019,신정동,"35,000",목동현대3차,3,55,4,84.77,,,1279,11470,4
