갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,1987,,,2022,신정동,"45,150",목동신시가지14,5,0,1,71.4,,,329,11470,9
사용,1987,갱신,22.05~24.05,2022,신정동,"26,000",목동신시가지9,5,16,1,53.82,"26,000",12,312,11470,15
사용,2000,갱신,22.07~24.07,2022,신정동,"22,000",학마을1단지,5,0,1,49.99,"21,000",0,1293,11470,8
,2011,신규,22.06~24.06,2022,신정동,"10,000",이펜하우스2단지,5,160,1,84.51,0,0,1322,11470,1
,1988,신규,22.07~24.07,2022,신정동,"12,000",목동신시가지11,5,28,1,51.48,0,0,325,11470,4
,1999,갱신,22.05~24.05,2022,신정동,"25,200",신트리1,5,0,1,49.8,"23,000",0,1259,11470,8
,2004,신규,,2022,신정동,"10,000",경남아너스빌,5,160,2,95.24,0,0,1307,11470,10
,1987,신규,22.07~24.07,2022,신정동,"105,000",목동신시가지13,5,0,2,122.3,0,0,327,11470,1
,1987,신규,22.05~24.05,2022,신정동,"2,000",수정,5,60,2,48.6,0,0,733-31,11470,2
,2000,신규,22.06~24.06,2022,신정동,"60,000",신트리3,5,0,2,84.25,0,0,1276,11470,8
사용,2001,갱신,22.05~24.05,2022,신정동,"28,000",푸른마을3,5,0,2,59.85,"27,000",0,1283,11470,8
,1987,신규,22.05~24.05,2022,신정동,0,목동신시가지13,5,70,2,98.63,0,0,327,11470,4
,2004,신규,22.07~24.07,2022,신정동,"37,000",대성유니드1차,5,0,2,59.87,0,0,1198-23,11470,12
,2003,,,2022,신정동,"145,000",굿모닝탑,5,0,2,183.13,,,324-10,11470,3
,2003,신규,22.08~24.08,2022,신정동,"145,000",굿모닝탑,5,0,2,183.13,0,0,324-10,11470,3
사용,2016,갱신,22.05~24.05,2022,신정동,"78,700",목동힐스테이트,5,0,2,84.98,"75,000",0,1323,11470,8
사용,1988,갱신,22.07~24.07,2022,신정동,"33,000",목동신시가지12,5,0,2,71.64,"33,000",0,326,11470,3
,1988,신규,22.06~24.06,2022,신정동,"35,000",목동신시가지11,5,0,2,51.48,0,0,325,11470,9
,2005,갱신,22.06~24.06,2022,신정동,"70,000",동일하이빌1단지,5,0,2,115.321,"50,000",0,1310,11470,1
사용,1987,갱신,22.05~24.05,2022,신정동,"52,500",목동신시가지14,5,0,3,83.89,"50,000",0,329,11470,11
,1987,신규,22.08~24.08,2022,신정동,"130,000",목동신시가지14,5,0,3,129.33,0,0,329,11470,11
,1988,,22.05~24.05,2022,신정동,"24,100",목동신시가지11,5,0,3,51.48,,,325,11470,14
사용,1988,갱신,22.07~24.07,2022,신정동,"30,400",목동신시가지12,5,0,3,53.46,"29,000",0,326,11470,4
사용,1988,갱신,22.05~24.05,2022,신정동,"28,350",목동신시가지12,5,0,3,56.76,"27,000",0,326,11470,2
,2004,신규,22.08~24.08,2022,신정동,"10,000",대성유니드1차,5,70,3,59.87,0,0,1198-23,11470,9
,2005,갱신,22.05~24.05,2022,신정동,"60,000",동일하이빌1단지,5,0,3,84.955,"46,000",0,1310,11470,6
,1987,신규,22.07~24.07,2022,신정동,"87,000",목동신시가지9,5,0,3,100.33,0,0,312,11470,5
,1987,,22.06~24.06,2022,신정동,"120,000",목동신시가지14,5,0,4,157.59,,,329,11470,9
사용,1992,갱신,22.07~24.07,2022,신정동,"49,300",대림,5,0,4,84.89,"47,000",0,333,11470,13
,1987,신규,22.07~24.07,2022,신정동,"105,000",목동신시가지10,5,0,4,127.21,0,0,311,11470,3
,2004,신규,22.06~24.06,2022,신정동,"35,000",대성유니드2차,5,0,4,80.86,0,0,1198-3,11470,11
사용,1987,갱신,22.06~24.06,2022,신정동,"48,300",목동신시가지13,5,0,4,70.73,"46,000",0,327,11470,12
,2009,신규,22.06~24.06,2022,신정동,"40,000",청우,5,0,4,69.66,0,0,881-6,11470,3
,1987,신규,22.06~24.06,2022,신정동,"43,000",목동신시가지8,5,0,4,54.94,0,0,314,11470,8
,1987,신규,22.07~24.07,2022,신정동,"45,000",목동신시가지9,5,0,4,53.82,0,0,312,11470,15
,2000,신규,22.08~24.08,2022,신정동,"60,000",목동우성2,5,0,4,84.96,0,0,337,11470,2
,2006,,22.05~24.05,2022,신정동,"47,250",세양청마루,5,0,4,84.98,,,1306,11470,8
,1992,신규,22.08~24.08,2022,신정동,"30,000",청구,5,30,5,84.99,0,0,336,11470,1
,2021,신규,22.06~24.06,2022,신정동,"22,000",래미안목동아델리체(1326),5,0,5,115.97,0,0,1326,11470,22
사용,1988,갱신,22.05~22.09,2022,신정동,"55,000",목동신시가지14,5,25,6,83.31,"55,000",22,329,11470,6
,1987,신규,22.08~24.08,2022,신정동,"105,000",목동신시가지13,5,0,6,122.3,0,0,327,11470,15
,1987,갱신,22.08~24.08,2022,신정동,"68,000",목동신시가지14,5,15,6,92.67,"62,000",0,329,11470,1
사용,1987,갱신,22.08~24.08,2022,신정동,"71,400",목동신시가지10,5,0,6,106.06,"68,000",0,311,11470,1
,2021,신규,22.07~24.07,2022,신정동,"70,000",중앙하이츠목동펠리시티,5,0,6,65.92,0,0,988-5,11470,9
,2019,신규,22.08~24.08,2022,신정동,"85,000",목동파크자이(101동~108동),5,0,6,84.926,0,0,1325,11470,4
