갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2000,,,2019,신정동,"20,000",신트리3,11,55,1,84.97,,,1276,11470,4
,2011,,,2019,신정동,"36,240",이펜하우스2단지,11,0,1,114.98,,,1322,11470,3
,2005,,,2019,신정동,"41,000",동일하이빌2단지,11,0,1,84.955,,,1311,11470,2
,2008,,,2019,신정동,"42,000",예지팰리스50차,11,0,1,81.05,,,895-3,11470,8
,2011,,,2019,신정동,"36,240",이펜하우스2단지,11,0,1,114.98,,,1322,11470,3
,2011,,,2019,신정동,"19,257",이펜하우스1단지,11,0,1,84.51,,,1321,11470,3
,2011,,,2019,신정동,"9,548",이펜하우스3단지,11,3,1,49.52,,,1316,11470,5
,2011,,,2019,신정동,"13,748",이펜하우스3단지,11,0,1,59.93,,,1316,11470,12
,2016,,,2019,신정동,"61,000",목동힐스테이트,11,0,1,59.95,,,1323,11470,16
,2004,,,2019,신정동,"57,000",경남아너스빌,11,0,1,84.95,,,1307,11470,8
,1996,,,2019,신정동,"5,000",목동삼성,11,120,1,84.77,,,1278,11470,1
,2000,,,2019,신정동,"3,000",학마을1단지,11,70,2,49.99,,,1293,11470,9
,2001,,,2019,신정동,"60,000",목동2삼성래미안,11,0,2,114.16,,,1295,11470,2
,2004,,,2019,신정동,"47,000",이스타팰리스,11,40,2,114.42,,,1007-11,11470,5
,2000,,,2019,신정동,"4,000",신정6현대,11,130,2,84.6,,,743-2,11470,12
,2000,,,2019,신정동,"37,000",신정6현대,11,0,2,114.8,,,743-2,11470,1
,1999,,,2019,신정동,"32,000",신트리1,11,0,2,59.73,,,1259,11470,1
,1999,,,2019,신정동,"32,000",신트리1,11,0,2,59.73,,,1259,11470,1
,1987,,,2019,신정동,"33,000",목동신시가지8,11,0,2,54.94,,,314,11470,17
,1987,,,2019,신정동,"48,000",목동신시가지9,11,0,2,71.37,,,312,11470,11
,1987,,,2019,신정동,"72,000",목동신시가지13,11,0,2,98.63,,,327,11470,7
,1988,,,2019,신정동,"32,900",목동신시가지14,11,0,2,55.02,,,329,11470,12
,1987,,,2019,신정동,"33,000",목동신시가지14,11,0,2,55.02,,,329,11470,4
,1988,,,2019,신정동,"30,000",목동신시가지14,11,0,2,55.02,,,329,11470,15
,1988,,,2019,신정동,"30,000",목동신시가지14,11,0,2,55.02,,,329,11470,14
,1988,,,2019,신정동,"6,000",목동신시가지14,11,80,2,55.02,,,329,11470,10
,1987,,,2019,신정동,"47,000",목동신시가지14,11,0,2,71.4,,,329,11470,19
,1992,,,2019,신정동,"49,000",대림,11,0,2,84.89,,,333,11470,15
,1987,,,2019,신정동,"40,000",목동신시가지10,11,82,2,106.06,,,311,11470,2
,1988,,,2019,신정동,"33,000",목동신시가지11,11,0,2,66.24,,,325,11470,15
,1988,,,2019,신정동,"28,300",목동신시가지11,11,0,2,51.48,,,325,11470,6
,1988,,,2019,신정동,"30,000",목동신시가지11,11,0,2,51.48,,,325,11470,3
,1988,,,2019,신정동,"47,000",목동신시가지12,11,0,2,71.64,,,326,11470,2
,1992,,,2019,신정동,"48,000",쌍용,11,0,3,84.63,,,334,11470,11
,2016,,,2019,신정동,"73,000",목동힐스테이트,11,0,3,84.88,,,1323,11470,15
,1987,,,2019,신정동,"46,000",목동신시가지9,11,0,3,71.37,,,312,11470,14
,1988,,,2019,신정동,"27,000",목동신시가지14,11,0,3,55.02,,,329,11470,5
,1990,,,2019,신정동,"55,000",유원목동,11,0,4,84.96,,,87-39,11470,6
,2011,,,2019,신정동,"13,317",이펜하우스1단지,11,0,4,59.93,,,1321,11470,9
