갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,1988,,,2020,신정동,"27,000",목동신시가지11,8,0,1,51.48,,,325,11470,4
,1999,,,2020,신정동,"23,000",신트리1,8,0,1,49.8,,,1259,11470,15
,2007,,,2020,신정동,"27,000",럭키,8,0,1,84.98,,,958-10,11470,2
,1987,,,2020,신정동,"31,000",목동신시가지14,8,0,1,55.02,,,329,11470,12
,1999,,,2020,신정동,"27,000",신트리1,8,0,2,49.95,,,1259,11470,15
,1987,,,2020,신정동,"31,000",목동신시가지9,8,0,3,53.82,,,312,11470,9
,2016,,,2020,신정동,"40,000",신정숲속마을,8,0,3,74.97,,,1324,11470,11
,2003,,,2020,신정동,"25,000",성은,8,0,4,71.06,,,872-8,11470,2
,2003,,,2020,신정동,"75,000",명지해드는터,8,0,4,84.98,,,1300,11470,14
,2004,,,2020,신정동,"105,000",목동삼성쉐르빌Ⅱ,8,0,4,125.89,,,318-12,11470,16
,2016,,,2020,신정동,"68,000",목동힐스테이트,8,0,4,84.98,,,1323,11470,15
,1987,,,2020,신정동,"85,000",목동신시가지10,8,0,4,127.21,,,311,11470,8
,2000,,,2020,신정동,"28,000",신트리4,8,0,4,59.73,,,1277,11470,2
,2000,,,2020,신정동,"28,000",학마을1단지,8,0,5,59.98,,,1293,11470,3
,1999,,,2020,신정동,"25,000",신트리1,8,0,5,49.8,,,1259,11470,13
,1987,,,2020,신정동,"47,000",목동신시가지8,8,0,6,71.77,,,314,11470,2
,1987,,,2020,신정동,"5,000",목동신시가지10,8,150,6,105.58,,,311,11470,14
,1988,,,2020,신정동,"25,000",목동신시가지14,8,75,6,71.37,,,329,11470,6
,1987,,,2020,신정동,"34,000",목동신시가지14,8,0,6,55.02,,,329,11470,14
,1987,,,2020,신정동,"45,000",목동신시가지13,8,0,6,70.73,,,327,11470,15
,2000,,,2020,신정동,"23,000",신정6현대,8,0,6,59.4,,,743-2,11470,3
,2000,,,2020,신정동,"23,000",신정6현대,8,0,6,59.4,,,743-2,11470,3
,1987,,,2020,신정동,"52,000",목동신시가지9,8,0,6,71.37,,,312,11470,13
,1987,,,2020,신정동,"38,000",목동신시가지9,8,0,6,53.82,,,312,11470,10
,2005,,,2020,신정동,"55,000",동일하이빌2단지,8,0,6,115.321,,,1311,11470,3
,2003,,,2020,신정동,"55,125",명지해드는터,8,0,6,84.98,,,1300,11470,4
,2003,,,2020,신정동,"22,400",성은,8,0,6,70.82,,,872-8,11470,4
,2003,,,2020,신정동,"71,000",대림아크로빌,8,0,6,113.1,,,324-7,11470,8
,1988,,,2020,신정동,"37,500",목동신시가지12,8,0,6,71.64,,,326,11470,7
,1988,,,2020,신정동,"39,000",목동신시가지12,8,0,6,71.64,,,326,11470,10
,1988,,,2020,신정동,"23,600",목동신시가지11,8,0,6,51.48,,,325,11470,15
,1988,,,2020,신정동,"32,000",목동신시가지10,8,0,6,53.82,,,311,11470,3
,1988,,,2020,신정동,"24,670",목동신시가지11,8,0,6,51.48,,,325,11470,12
,1988,,,2020,신정동,"35,000",목동신시가지11,8,0,7,66.24,,,325,11470,8
,1988,,,2020,신정동,"26,500",목동신시가지12,8,0,7,56.76,,,326,11470,5
,1988,,,2020,신정동,"47,000",목동신시가지12,8,0,7,71.64,,,326,11470,10
,2002,,,2020,신정동,"5,000",동원데쟈뷰,8,85,7,68.5,,,938-7,11470,11
,2016,,,2020,신정동,"70,000",목동힐스테이트,8,0,7,59.95,,,1323,11470,16
,2016,,,2020,신정동,"70,000",목동힐스테이트,8,0,7,59.95,,,1323,11470,16
,1999,,,2020,신정동,"25,000",신트리1,8,0,7,49.8,,,1259,11470,5
,2000,,,2020,신정동,"41,895",신트리3,8,0,7,84.97,,,1276,11470,10
,2000,,,2020,신정동,"29,500",신트리4,8,0,7,59.73,,,1277,11470,5
,1995,,,2020,신정동,"56,000",현대,8,0,7,84.84,,,1252,11470,19
,1987,,,2020,신정동,"80,000",목동신시가지9,8,0,7,106.93,,,312,11470,13
,1987,,,2020,신정동,"31,500",목동신시가지13,8,0,7,53.9,,,327,11470,14
,1987,,,2020,신정동,"30,000",목동신시가지14,8,0,7,55.02,,,329,11470,15
,1987,,,2020,신정동,"22,000",목동신시가지10,8,30,7,53.82,,,311,11470,6
,1988,,,2020,신정동,"26,000",목동신시가지10,8,4,8,53.82,,,311,11470,10
,1987,,,2020,신정동,"31,500",목동신시가지8,8,0,8,54.94,,,314,11470,17
,1988,,,2020,신정동,"30,000",목동신시가지10,8,0,8,53.82,,,311,11470,3
,1988,,,2020,신정동,"32,000",목동신시가지11,8,0,8,51.48,,,325,11470,14
,1988,,,2020,신정동,"37,000",목동신시가지11,8,0,8,66.24,,,325,11470,5
,1988,,,2020,신정동,"10,000",목동신시가지12,8,70,8,56.76,,,326,11470,3
,1988,,,2020,신정동,"44,000",목동신시가지12,8,0,8,71.64,,,326,11470,14
,1988,,,2020,신정동,"5,000",목동신시가지12,8,100,8,71.64,,,326,11470,1
,1988,,,2020,신정동,"48,000",목동신시가지12,8,0,8,71.64,,,326,11470,6
,1987,,,2020,신정동,"70,000",목동신시가지14,8,0,8,108.28,,,329,11470,12
,2016,,,2020,신정동,"10,000",목동힐스테이트,8,205,8,84.98,,,1323,11470,17
,2003,,,2020,신정동,"85,000",대림아크로빌,8,0,8,165.27,,,324-7,11470,10
,2004,,,2020,신정동,"42,000",대림e-편한세상,8,0,8,84.985,,,1303,11470,24
,2008,,,2020,신정동,"60,000",SM엘루이,8,0,8,84.96,,,1014-5,11470,10
,1999,,,2020,신정동,"30,500",신트리1,8,0,8,59.73,,,1259,11470,13
,2000,,,2020,신정동,"45,000",신트리3,8,0,8,84.8,,,1276,11470,12
