갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2000,,,2020,신정동,"3,000",신정6현대,1,70,1,59.4,,,743-2,11470,20
,2005,,,2020,신정동,"50,000",동일하이빌1단지,1,0,1,115.321,,,1310,11470,5
,1987,,,2020,신정동,"71,000",목동신시가지14,1,0,2,108.28,,,329,11470,12
,1987,,,2020,신정동,"71,000",목동신시가지14,1,0,2,108.28,,,329,11470,12
,1987,,,2020,신정동,"71,000",목동신시가지14,1,0,2,108.28,,,329,11470,12
,1988,,,2020,신정동,"30,000",목동신시가지12,1,0,2,53.46,,,326,11470,10
,2002,,,2020,신정동,"10,000",재훈,1,0,2,74.05,,,884-6,11470,7
,2001,,,2020,신정동,"65,000",목동2삼성래미안,1,0,2,114.16,,,1295,11470,1
,1999,,,2020,신정동,"30,000",신트리1,1,0,2,59.73,,,1259,11470,11
,2004,,,2020,신정동,"31,000",정은스카이빌2차,1,0,2,84.98,,,1304,11470,11
,1995,,,2020,신정동,"3,057",양천,1,1,2,39.36,,,276,11470,8
,1988,,,2020,신정동,"10,000",목동신시가지11,1,0,2,51.48,,,325,11470,3
,1988,,,2020,신정동,"30,000",목동신시가지10,1,0,2,53.82,,,311,11470,15
,1988,,,2020,신정동,"67,000",목동신시가지14,1,0,3,83.31,,,329,11470,2
,1987,,,2020,신정동,"42,000",목동신시가지13,1,33,3,70.73,,,327,11470,6
,1987,,,2020,신정동,"46,200",목동신시가지9,1,0,3,71.37,,,312,11470,10
,2004,,,2020,신정동,"38,000",대림e-편한세상,1,0,3,84.985,,,1303,11470,6
,2001,,,2020,신정동,"40,000",목동2삼성래미안,1,0,3,59.92,,,1295,11470,8
,2000,,,2020,신정동,"38,000",목동우성2,1,0,3,84.96,,,337,11470,11
,1988,,,2020,신정동,"27,000",목동신시가지11,1,0,3,51.48,,,325,11470,11
,2001,,,2020,신정동,"37,000",목동2삼성래미안,1,0,3,59.92,,,1295,11470,9
,1997,,,2020,신정동,"53,000",목동현대3차,1,0,3,84.77,,,1279,11470,18
,1988,,,2020,신정동,"10,000",목동신시가지10,1,55,3,53.82,,,311,11470,11
,2005,,,2020,신정동,"43,000",동일하이빌2단지,1,0,3,84.955,,,1311,11470,4
,1999,,,2020,신정동,"24,000",신트리1,1,0,4,49.8,,,1259,11470,15
,2000,,,2020,신정동,"25,000",신트리3,1,55,4,84.97,,,1276,11470,13
,1992,,,2020,신정동,"44,000",청구,1,0,4,84.99,,,336,11470,1
,1995,,,2020,신정동,"40,000",현대,1,30,4,84.84,,,1252,11470,18
,2002,,,2020,신정동,"65,000",아이파크,1,0,4,59.82,,,1296,11470,13
,2002,,,2020,신정동,"100,000",아이파크,1,0,4,114.756,,,1296,11470,16
,1988,,,2020,신정동,"20,000",목동신시가지12,1,72,4,71.64,,,326,11470,9
,1988,,,2020,신정동,"47,000",목동신시가지12,1,0,4,72.75,,,326,11470,4
,1988,,,2020,신정동,"44,000",목동신시가지12,1,0,4,71.64,,,326,11470,6
,1987,,,2020,신정동,"85,000",목동신시가지10,1,0,4,127.21,,,311,11470,13
,1988,,,2020,신정동,"32,000",목동신시가지10,1,0,4,53.82,,,311,11470,3
,1987,,,2020,신정동,"55,000",목동신시가지13,1,25,4,98.63,,,327,11470,7
,1987,,,2020,신정동,"34,000",목동신시가지8,1,0,4,54.94,,,314,11470,6
,1988,,,2020,신정동,"33,000",목동신시가지14,1,0,4,55.02,,,329,11470,1
