갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,1988,,,2019,신정동,"31,000",목동신시가지11,2,0,1,66.24,,,325,11470,11
,1988,,,2019,신정동,"4,500",목동신시가지11,2,50,1,51.48,,,325,11470,13
,1987,,,2019,신정동,"43,500",목동신시가지9,2,0,1,71.37,,,312,11470,2
,1987,,,2019,신정동,"29,000",목동신시가지14,2,0,1,55.02,,,329,11470,11
,1987,,,2019,신정동,"56,000",목동신시가지10,2,20,1,105.58,,,311,11470,4
,1999,,,2019,신정동,"38,900",목동캐슬아파트,2,0,1,85.32,,,296-28,11470,6
,2002,,,2019,신정동,"42,000",아이파크,2,20,1,84.88,,,1296,11470,5
,2006,,,2019,신정동,"38,000",세양청마루,2,0,1,59.98,,,1306,11470,10
,1987,,,2019,신정동,"65,000",목동신시가지14,2,0,1,108.28,,,329,11470,5
,2004,,,2019,신정동,0,대성유니드2차,2,40,1,84.67,,,1198-3,11470,10
,2019,,,2019,신정동,"63,000",목동파크자이(101동~108동),2,0,2,84.993,,,1325,11470,6
,1987,,,2019,신정동,"60,000",목동신시가지9,2,70,2,146.04,,,312,11470,1
,1987,,,2019,신정동,"60,000",목동신시가지9,2,0,2,106.93,,,312,11470,7
,1987,,,2019,신정동,"65,000",목동신시가지9,2,0,2,106.93,,,312,11470,1
,1988,,,2019,신정동,"5,000",목동신시가지11,2,70,2,66.24,,,325,11470,6
,2006,,,2019,신정동,"42,000",세양청마루,2,0,2,84.98,,,1306,11470,13
,2000,,,2019,신정동,"20,000",학마을1단지,2,0,4,49.99,,,1293,11470,11
,2011,,,2019,신정동,"39,000",이펜하우스3단지,2,0,6,84.86,,,1316,11470,3
,2019,,,2019,신정동,"59,000",목동파크자이(101동~108동),2,0,6,84.949,,,1325,11470,5
,1999,,,2019,신정동,"25,000",신트리1,2,0,7,49.95,,,1259,11470,15
,2000,,,2019,신정동,"20,500",학마을1단지,2,0,7,49.98,,,1293,11470,14
,2016,,,2019,신정동,"4,928",신정숲속마을,2,9,7,39.99,,,1324,11470,15
,2006,,,2019,신정동,"24,000",지오프레저101동,2,0,7,95.45,,,958-16,11470,5
,1987,,,2019,신정동,"10,000",목동신시가지10,2,60,7,53.82,,,311,11470,5
,2001,,,2019,신정동,"25,500",푸른마을3,2,0,7,59.99,,,1283,11470,6
,1987,,,2019,신정동,"40,000",목동신시가지14,2,0,8,71.4,,,329,11470,13
,1988,,,2019,신정동,"46,000",목동신시가지14,2,0,8,71.37,,,329,11470,10
,1987,,,2019,신정동,"28,000",목동신시가지8,2,0,8,54.94,,,314,11470,4
,1988,,,2019,신정동,"29,700",목동신시가지11,2,0,8,66.24,,,325,11470,12
,1987,,,2019,신정동,"31,000",목동신시가지8,2,0,8,54.94,,,314,11470,4
,2002,,,2019,신정동,"24,000",푸른마을4,2,40,8,84.99,,,1285,11470,13
,1992,,,2019,신정동,"20,000",진명,2,0,8,52.32,,,282-16,11470,1
,2005,,,2019,신정동,"50,000",동일하이빌2단지,2,0,8,115.321,,,1311,11470,9
,1999,,,2019,신정동,"35,000",목동우성3,2,0,9,84.73,,,338,11470,8
,2000,,,2019,신정동,"38,000",목동우성2,2,0,9,84.96,,,337,11470,6
,2008,,,2019,신정동,"36,000",예지팰리스50차,2,0,9,81.88,,,895-3,11470,5
,2000,,,2019,신정동,"38,000",목동우성2,2,0,9,84.96,,,337,11470,3
,2019,,,2019,신정동,"25,000",목동파크자이(101동~108동),2,100,9,84.993,,,1325,11470,4
,2019,,,2019,신정동,"56,000",목동파크자이(101동~108동),2,0,9,84.977,,,1325,11470,1
,2017,,,2019,신정동,"3,000",경동미르웰,2,48,9,14.02,,,972-2,11470,12
,2017,,,2019,신정동,"12,100",경동미르웰,2,0,9,14.02,,,972-2,11470,4
,2004,,,2019,신정동,"59,000",경남아너스빌,2,0,9,84.95,,,1307,11470,4
,2002,,,2019,신정동,"53,000",아이파크,2,50,9,84.88,,,1296,11470,6
,2002,,,2019,신정동,"10,000",아이파크,2,30,9,84.88,,,1296,11470,2
,2001,,,2019,신정동,"29,000",파인빌,2,30,9,73.138,,,339,11470,6
,1996,,,2019,신정동,"55,000",목동삼성,2,0,9,84.77,,,1278,11470,12
,2000,,,2019,신정동,"12,000",신정6현대,2,35,9,59.4,,,743-2,11470,20
,1987,,,2019,신정동,"13,000",수정,2,0,9,48.87,,,733-31,11470,5
,1997,,,2019,신정동,"48,000",목동현대3차,2,0,9,84.77,,,1279,11470,2
,1987,,,2019,신정동,"46,000",목동신시가지9,2,0,9,71.37,,,312,11470,13
,1987,,,2019,신정동,"30,000",목동신시가지8,2,0,9,54.94,,,314,11470,6
,1987,,,2019,신정동,"46,000",목동신시가지8,2,0,9,71.77,,,314,11470,20
,1987,,,2019,신정동,"32,000",목동신시가지8,2,0,9,54.94,,,314,11470,9
,1987,,,2019,신정동,"57,000",목동신시가지13,2,0,9,99.26,,,327,11470,5
