갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,1988,,,2020,신정동,"26,500",목동신시가지12,6,0,1,53.46,,,326,11470,6
,2000,,,2020,신정동,"37,000",목동우성2,6,0,1,84.96,,,337,11470,6
,2001,,,2020,신정동,"25,500",푸른마을2,6,0,1,59.91,,,1281,11470,11
,1999,,,2020,신정동,"25,000",신트리1,6,0,1,49.95,,,1259,11470,12
,1996,,,2020,신정동,"25,000",목동삼성,6,90,1,84.77,,,1278,11470,21
,2011,,,2020,신정동,"45,000",이펜하우스3단지,6,0,1,114.98,,,1316,11470,7
,1988,,,2020,신정동,"30,400",목동신시가지10,6,0,2,53.82,,,311,11470,8
,1987,,,2020,신정동,"70,000",목동신시가지10,6,0,2,105.58,,,311,11470,8
,1987,,,2020,신정동,"34,000",목동신시가지14,6,0,2,55.02,,,329,11470,9
,1987,,,2020,신정동,"34,000",목동신시가지14,6,0,2,55.02,,,329,11470,9
,1987,,20.08~22.08,2020,신정동,"5,000",목동신시가지13,6,150,2,99.26,,,327,11470,3
,1987,,,2020,신정동,"45,000",목동신시가지13,6,0,2,70.73,,,327,11470,9
,1987,,,2020,신정동,"80,000",목동신시가지8,6,0,2,92.9,,,314,11470,1
,1999,,,2020,신정동,"30,000",신트리1,6,0,2,49.8,,,1259,11470,14
,2000,,,2020,신정동,"3,744",신트리2단지,6,0,2,39.6,,,1258,11470,7
,2004,,,2020,신정동,"47,000",대림e-편한세상,6,0,2,109.905,,,1303,11470,6
,2000,,,2020,신정동,"20,000",학마을1단지,6,0,3,49.99,,,1293,11470,13
,2016,,,2020,신정동,"70,000",목동힐스테이트,6,25,3,84.88,,,1323,11470,14
,1987,,,2020,신정동,"32,000",목동신시가지8,6,0,3,54.94,,,314,11470,2
,2002,,,2020,신정동,"25,000",동일아파트,6,0,3,83.75,,,911-9,11470,5
,2016,,,2020,신정동,"75,000",목동힐스테이트,6,0,3,84.88,,,1323,11470,17
,1987,,,2020,신정동,"56,000",목동신시가지13,6,0,3,98.63,,,327,11470,1
,1987,,,2020,신정동,"18,000",목동신시가지8,6,45,3,54.94,,,314,11470,15
,1988,,,2020,신정동,"30,000",목동신시가지11,6,0,4,66.24,,,325,11470,1
,2019,,,2020,신정동,"1,000",선영에비앙,6,77,4,18.54,,,1029-14,11470,12
,1987,,,2020,신정동,"32,000",목동신시가지8,6,0,4,54.94,,,314,11470,11
,1988,,,2020,신정동,"42,000",목동신시가지12,6,0,4,71.64,,,326,11470,6
,2000,,,2020,신정동,"30,000",신트리3,6,50,4,84.25,,,1276,11470,5
,1988,,,2020,신정동,"33,000",목동신시가지11,6,0,4,66.24,,,325,11470,8
,2000,,,2020,신정동,"23,100",신트리4,6,0,5,49.8,,,1277,11470,9
,1988,,,2020,신정동,"26,000",목동신시가지12,6,0,5,56.76,,,326,11470,5
,1999,,,2020,신정동,"23,500",신트리1,6,0,5,49.8,,,1259,11470,1
,1988,,,2020,신정동,"57,000",목동신시가지14,6,0,5,83.89,,,329,11470,15
,1988,,,2020,신정동,"27,000",목동신시가지11,6,0,5,51.48,,,325,11470,13
,1988,,,2020,신정동,"26,000",목동신시가지11,6,0,5,51.48,,,325,11470,11
,1988,,,2020,신정동,"29,500",목동신시가지14,6,0,5,55.02,,,329,11470,11
,1988,,,2020,신정동,"35,000",목동신시가지14,6,0,5,55.02,,,329,11470,5
,2005,,,2020,신정동,"51,500",동일하이빌1단지,6,0,5,115.321,,,1310,11470,6
,1988,,,2020,신정동,"31,500",목동신시가지12,6,0,5,56.76,,,326,11470,2
,2011,,,2020,신정동,"35,000",이펜하우스4단지,6,0,5,84.51,,,1317,11470,11
,2000,,,2020,신정동,"22,000",학마을1단지,6,0,6,49.99,,,1293,11470,6
,2000,,,2020,신정동,"21,000",학마을1단지,6,0,6,49.99,,,1293,11470,9
,2001,,,2020,신정동,"29,000",푸른마을3,6,0,6,59.85,,,1283,11470,8
,1990,,,2020,신정동,"45,000",유원목동,6,15,6,84.98,,,87-39,11470,1
,1999,,,2020,신정동,"23,000",신트리1,6,0,6,49.8,,,1259,11470,12
,2000,,,2020,신정동,"25,000",신정6현대,6,0,6,59.4,,,743-2,11470,8
,2000,,,2020,신정동,"25,000",신정6현대,6,0,6,59.4,,,743-2,11470,8
,2004,,,2020,신정동,"30,000",대성유니드2차,6,0,6,84.67,,,1198-3,11470,11
,2002,,,2020,신정동,"32,000",팰리스필,6,0,6,80.11,,,872-6,11470,7
,1996,,,2020,신정동,"30,000",흥영,6,0,6,82.53,,,911-4,11470,8
,2016,,,2020,신정동,"78,000",목동힐스테이트,6,0,6,84.88,,,1323,11470,6
,2016,,,2020,신정동,"59,800",목동힐스테이트,6,0,6,59.95,,,1323,11470,14
,1988,,,2020,신정동,"25,000",목동신시가지11,6,0,6,51.48,,,325,11470,14
,2016,,,2020,신정동,"35,000",목동힐스테이트,6,100,6,84.98,,,1323,11470,18
,2016,,,2020,신정동,"35,500",목동힐스테이트,6,100,6,84.98,,,1323,11470,18
,2016,,,2020,신정동,"80,000",목동힐스테이트,6,0,7,84.93,,,1323,11470,20
,1999,,,2020,신정동,"23,000",신트리1,6,0,7,49.95,,,1259,11470,12
,1988,,,2020,신정동,"26,000",목동신시가지11,6,0,8,51.48,,,325,11470,13
,1988,,,2020,신정동,"61,000",목동신시가지14,6,0,8,83.31,,,329,11470,7
,2019,,,2020,신정동,"5,828",이든채(101동~104동),6,24,8,39.48,,,1320-8,11470,12
,2019,,,2020,신정동,"5,134",이든채(101동~104동),6,34,8,39.48,,,1320-8,11470,3
,2019,,,2020,신정동,"4,620",이든채(101동~104동),6,30,8,39.48,,,1320-8,11470,12
,2002,,,2020,신정동,"35,000",푸른마을4,6,0,8,84.99,,,1285,11470,2
,2004,,,2020,신정동,"28,000",대성유니드1차,6,0,8,59.87,,,1198-23,11470,10
,2000,,,2020,신정동,"3,376",신트리2단지,6,2,8,39.6,,,1258,11470,13
,1987,,,2020,신정동,"68,000",목동신시가지9,6,0,8,106.93,,,312,11470,14
,1987,,,2020,신정동,"60,000",목동신시가지13,6,0,8,98.63,,,327,11470,3
,1987,,,2020,신정동,"28,000",목동신시가지14,6,0,8,55.02,,,329,11470,13
,1995,,,2020,신정동,"6,000",마이홈,6,100,9,58.92,,,1194-5,11470,10
,1997,,,2020,신정동,"53,000",목동현대3차,6,0,9,71.16,,,1279,11470,14
,1987,,,2020,신정동,"34,000",목동신시가지10,6,0,9,53.82,,,311,11470,14
,1988,,,2020,신정동,"25,000",목동신시가지11,6,0,9,51.48,,,325,11470,5
,1988,,,2020,신정동,"32,000",목동신시가지11,6,0,9,66.24,,,325,11470,5
,1988,,,2020,신정동,"34,000",목동신시가지11,6,0,9,66.24,,,325,11470,8
,1988,,,2020,신정동,"43,000",목동신시가지12,6,0,9,72.75,,,326,11470,3
,2011,,,2020,신정동,"25,000",이펜하우스4단지,6,50,9,84.86,,,1317,11470,3
,1988,,,2020,신정동,"43,000",목동신시가지12,6,0,9,72.75,,,326,11470,3
,2003,,,2020,신정동,"42,000",로데오휘버스빌,6,0,9,84.99,,,893-9,11470,3
,2011,,,2020,신정동,"26,800",이펜하우스1단지,6,0,9,84.51,,,1321,11470,7
,1996,,,2020,신정동,"54,600",목동삼성,6,0,9,84.77,,,1278,11470,1
,2000,,,2020,신정동,"29,000",신트리4,6,0,9,59.73,,,1277,11470,10
,1987,,,2020,신정동,"33,500",목동신시가지9,6,0,9,53.82,,,312,11470,14
,1987,,,2020,신정동,"66,000",목동신시가지10,6,0,9,105.58,,,311,11470,6
,1987,,,2020,신정동,"93,000",목동신시가지10,6,0,10,156.24,,,311,11470,7
,2011,,,2020,신정동,"40,000",이펜하우스4단지,6,0,10,84.96,,,1317,11470,7
,2000,,,2020,신정동,"20,000",학마을1단지,6,0,10,49.98,,,1293,11470,15
,1987,,,2020,신정동,"29,000",목동신시가지13,6,0,10,53.9,,,327,11470,14
,1987,,,2020,신정동,"30,000",목동신시가지8,6,0,10,54.94,,,314,11470,3
,2011,,,2020,신정동,"9,310",이펜하우스4단지,6,0,10,49.92,,,1317,11470,7
,2000,,,2020,신정동,"20,000",학마을1단지,6,0,10,49.98,,,1293,11470,2
,1992,,,2020,신정동,"45,000",청구,6,0,10,84.99,,,336,11470,2
,2000,,,2020,신정동,"28,000",신정6현대,6,0,10,59.4,,,743-2,11470,7
,2000,,,2020,신정동,"45,000",신정6현대,6,0,10,114.8,,,743-2,11470,11
,1987,,,2020,신정동,"80,000",목동신시가지8,6,0,10,105.35,,,314,11470,12
,1987,,,2020,신정동,"71,400",목동신시가지8,6,0,10,105.35,,,314,11470,6
,1987,,,2020,신정동,"32,000",목동신시가지13,6,0,11,53.9,,,327,11470,15
,1987,,,2020,신정동,"45,000",목동신시가지13,6,0,11,70.73,,,327,11470,2
,1997,,,2020,신정동,"63,000",목동현대3차,6,0,11,84.77,,,1279,11470,15
,1987,,,2020,신정동,"47,000",목동신시가지9,6,0,11,71.37,,,312,11470,13
,1987,,,2020,신정동,"22,500",목동신시가지8,6,30,11,54.94,,,314,11470,5
,2001,,,2020,신정동,"25,000",푸른마을3,6,0,11,59.99,,,1283,11470,15
,2004,,,2020,신정동,"115,000",목동삼성쉐르빌Ⅱ,6,0,11,178.94,,,318-12,11470,12
,2001,,,2020,신정동,"40,000",목동2삼성래미안,6,0,11,59.54,,,1295,11470,7
,2001,,,2020,신정동,"53,000",목동2삼성래미안,6,0,11,84.65,,,1295,11470,7
,2016,,,2020,신정동,"63,000",목동힐스테이트,6,0,11,59.95,,,1323,11470,9
,2016,,,2020,신정동,"60,000",목동힐스테이트,6,0,11,59.95,,,1323,11470,2
,2016,,,2020,신정동,"57,000",목동힐스테이트,6,0,11,59.95,,,1323,11470,2
,2016,,,2020,신정동,"100,000",목동힐스테이트,6,0,11,113.68,,,1323,11470,9
,1988,,,2020,신정동,"25,000",목동신시가지11,6,0,11,51.48,,,325,11470,13
,1988,,,2020,신정동,"25,000",목동신시가지11,6,0,11,51.48,,,325,11470,13
,1987,,,2020,신정동,"4,000",목동신시가지10,6,92,11,53.82,,,311,11470,8
,1987,,,2020,신정동,"75,000",목동신시가지9,6,0,12,106.93,,,312,11470,14
,1987,,,2020,신정동,"2,000",수정,6,45,12,47.16,,,733-31,11470,1
,1987,,,2020,신정동,"65,000",목동신시가지13,6,0,12,124.55,,,327,11470,2
,2011,,,2020,신정동,"38,000",이펜하우스2단지,6,0,12,84.51,,,1322,11470,5
,2016,,,2020,신정동,"38,000",신정숲속마을,6,0,12,84.99,,,1324,11470,6
,1988,,,2020,신정동,"27,000",목동신시가지11,6,0,12,51.48,,,325,11470,12
,1990,,,2020,신정동,"50,000",유원목동,6,0,12,84.96,,,87-39,11470,2
,2019,,,2020,신정동,"50,000",목동파크자이(101동~108동),6,70,12,84.977,,,1325,11470,7
,1987,,,2020,신정동,"20,000",목동신시가지9,6,50,12,53.82,,,312,11470,3
,1987,,,2020,신정동,"40,000",목동신시가지13,6,0,12,70.73,,,327,11470,10
,2000,,,2020,신정동,"30,500",신트리4,6,0,13,59.73,,,1277,11470,8
,1987,,,2020,신정동,"55,500",목동신시가지13,6,0,13,98.63,,,327,11470,10
,1987,,,2020,신정동,"59,000",목동신시가지13,6,10,13,98.63,,,327,11470,10
,1988,,,2020,신정동,"43,000",목동신시가지14,6,0,13,74.19,,,329,11470,14
,2000,,,2020,신정동,"31,000",신트리4,6,0,13,59.73,,,1277,11470,7
,2000,,,2020,신정동,"19,950",신트리4,6,0,13,48.96,,,1277,11470,1
,1987,,,2020,신정동,"43,000",목동신시가지13,6,0,13,70.73,,,327,11470,5
,1987,,,2020,신정동,"39,900",목동신시가지13,6,0,13,70.73,,,327,11470,7
