갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2006,신규,22.01~24.01,2022,신정동,"70,000",세양청마루,1,0,1,84.98,0,0,1306,11470,10
사용,2000,갱신,22.01~24.01,2022,신정동,"24,150",신트리4,1,0,1,48.96,"23,000",0,1277,11470,10
사용,1987,갱신,22.01~23.12,2022,신정동,"13,755",목동신시가지9,1,0,1,53.82,"13,100",0,312,11470,5
,1992,,,2022,신정동,"60,000",쌍용,1,0,1,84.65,,,334,11470,4
,2017,신규,22.01~23.01,2022,신정동,500,경동미르웰,1,57,3,14.02,0,0,972-2,11470,9
,2020,신규,,2022,신정동,"10,528",파크샤인,1,13,3,26.5,0,0,163-36,11470,4
,1988,신규,22.01~24.01,2022,신정동,"50,000",목동신시가지10,1,0,3,53.82,0,0,311,11470,1
,2003,신규,22.02~24.02,2022,신정동,"43,500",동국화이트빌B동,1,0,3,84.65,0,0,879-5,11470,7
사용,1987,갱신,22.01~24.01,2022,신정동,"27,300",목동신시가지14,1,105,3,108.28,"26,000",100,329,11470,2
,1987,신규,22.02~24.02,2022,신정동,"20,000",목동신시가지8,1,100,3,54.94,0,0,314,11470,11
,1987,,,2022,신정동,"20,000",목동신시가지8,1,100,3,54.94,,,314,11470,11
사용,2001,갱신,22.02~24.02,2022,신정동,"25,200",푸른마을2,1,0,3,59.91,"24,000",0,1281,11470,6
사용,1987,갱신,22.02~24.02,2022,신정동,"63,000",목동신시가지14,1,0,4,83.89,"60,000",0,329,11470,18
사용,1988,갱신,22.02~24.02,2022,신정동,"49,350",목동신시가지12,1,0,4,72.75,"47,000",0,326,11470,3
,1988,신규,22.02~24.02,2022,신정동,"64,000",목동신시가지12,1,0,4,71.64,0,0,326,11470,10
,1988,신규,22.02~24.02,2022,신정동,"10,000",목동신시가지11,1,110,4,66.24,0,0,325,11470,12
,1987,신규,22.03~24.03,2022,신정동,"30,000",목동신시가지10,1,64,4,53.82,0,0,311,11470,3
사용,2011,갱신,22.02~24.02,2022,신정동,"35,700",이펜하우스4단지,1,0,4,59.93,"34,000",0,1317,11470,9
,2001,갱신,22.01~24.01,2022,신정동,"45,000",목동2삼성래미안,1,0,4,59.92,"45,000",0,1295,11470,4
,2000,신규,22.02~24.02,2022,신정동,"30,000",학마을1단지,1,0,4,49.99,0,0,1293,11470,2
,2000,,,2022,신정동,"30,000",학마을1단지,1,0,4,49.99,,,1293,11470,2
,1997,신규,22.02~24.02,2022,신정동,"100,000",목동현대3차,1,0,4,101.91,0,0,1279,11470,16
,2000,신규,22.02~24.02,2022,신정동,"56,000",목동우성2,1,0,4,84.96,0,0,337,11470,10
,1987,신규,22.02~24.02,2022,신정동,"47,000",목동신시가지9,1,50,5,71.37,0,0,312,11470,14
사용,2000,갱신,22.01~24.01,2022,신정동,"23,000",신트리4,1,0,5,49.5,"22,000",0,1277,11470,14
,2003,갱신,22.01~24.01,2022,신정동,"41,000",동국화이트빌B동,1,0,5,84.65,"37,000",0,879-5,11470,3
,2016,신규,22.01~23.01,2022,신정동,"110,000",목동힐스테이트,1,0,5,84.98,0,0,1323,11470,3
사용,1987,갱신,22.01~24.01,2022,신정동,"31,500",목동신시가지9,1,0,5,53.82,"30,000",0,312,11470,7
,1988,신규,22.02~24.02,2022,신정동,"30,000",목동신시가지12,1,110,5,71.64,0,0,326,11470,9
사용,1987,갱신,22.02~24.02,2022,신정동,"76,650",목동신시가지14,1,0,5,108.28,"73,000",0,329,11470,6
사용,2000,갱신,22.03~24.03,2022,신정동,"21,000",학마을1단지,1,0,6,49.99,"20,000",0,1293,11470,10
,1995,,,2022,신정동,"50,000",현대,1,0,6,84.14,,,1252,11470,15
,2004,신규,22.02~24.02,2022,신정동,"62,000",대림e-편한세상,1,0,6,109.905,0,0,1303,11470,8
,2003,갱신,22.01~25.01,2022,신정동,"70,000",명지해드는터,1,0,6,84.97,"65,000",0,1300,11470,9
사용,2004,갱신,22.02~24.02,2022,신정동,"67,000",경남아너스빌,1,0,6,84.82,"64,000",0,1307,11470,2
,2004,,,2022,신정동,"20,000",롯데캐슬,1,160,6,84.73,,,1309,11470,7
,1988,갱신,22.02~24.02,2022,신정동,"30,000",목동신시가지11,1,50,6,66.24,"30,000",0,325,11470,6
사용,1988,갱신,22.02~24.02,2022,신정동,"49,350",목동신시가지12,1,0,6,72.75,"47,000",0,326,11470,4
,1988,,,2022,신정동,"49,350",목동신시가지12,1,0,6,72.75,,,326,11470,4
,1987,신규,22.02~24.02,2022,신정동,"71,000",목동신시가지13,1,0,6,70.73,0,0,327,11470,13
,1987,,,2022,신정동,"95,000",목동신시가지13,1,0,6,98.63,,,327,11470,12
,1987,,,2022,신정동,"85,000",목동신시가지13,1,0,6,99.26,,,327,11470,2
,1987,갱신,22.02~24.02,2022,신정동,"95,000",목동신시가지13,1,0,6,98.63,"65,000",0,327,11470,12
사용,1987,갱신,22.02~24.02,2022,신정동,"40,000",목동신시가지14,1,110,6,108.28,"40,000",100,329,11470,4
사용,1987,갱신,22.02~24.02,2022,신정동,"84,000",목동신시가지9,1,0,6,106.93,"80,000",0,312,11470,10
사용,2001,갱신,22.02~22.08,2022,신정동,"28,000",푸른마을2,1,0,6,59.85,"28,000",0,1281,11470,4
사용,2002,갱신,22.02~24.02,2022,신정동,"59,850",블레스빌,1,0,7,79.43,"57,000",0,340,11470,7
,2016,신규,22.01~24.01,2022,신정동,"105,300",목동힐스테이트,1,0,7,84.93,0,0,1323,11470,16
,2000,신규,22.03~24.03,2022,신정동,"42,000",목동우성2,1,0,7,84.96,0,0,337,11470,6
,2000,신규,22.03~24.03,2022,신정동,"72,000",목동우성2,1,0,7,113.91,0,0,337,11470,3
사용,1988,갱신,22.02~24.02,2022,신정동,"48,300",목동신시가지12,1,0,7,72.75,"46,000",0,326,11470,3
,1988,,,2022,신정동,"48,300",목동신시가지12,1,0,7,72.75,,,326,11470,3
사용,1987,갱신,22.03~24.03,2022,신정동,"54,600",목동신시가지9,1,0,7,71.37,"52,000",0,312,11470,2
사용,1987,갱신,22.02~24.02,2022,신정동,"39,850",목동신시가지9,1,0,7,53.82,"38,000",0,312,11470,6
사용,1988,갱신,22.01~24.01,2022,신정동,"45,150",목동신시가지12,1,0,7,71.64,"43,000",0,326,11470,7
,1988,신규,22.02~24.02,2022,신정동,"30,000",목동신시가지12,1,100,7,71.64,0,0,326,11470,3
,2002,,,2022,신정동,"57,500",블레스빌,1,0,7,79.43,,,340,11470,5
사용,1999,갱신,22.02~24.02,2022,신정동,"33,600",신트리1,1,0,7,59.73,"32,000",0,1259,11470,8
사용,1987,갱신,22.02~24.02,2022,신정동,"35,380",목동신시가지14,1,0,7,55.02,"33,700",0,329,11470,3
,1987,갱신,22.01~24.01,2022,신정동,"40,000",목동신시가지14,1,57,7,71.4,"32,000",45,329,11470,10
사용,2001,갱신,22.01~24.01,2022,신정동,"47,250",파인빌,1,0,7,73.138,"45,000",0,339,11470,2
,2000,신규,22.03~24.03,2022,신정동,"23,600",학마을1단지,1,0,7,49.99,0,0,1293,11470,15
,2000,갱신,22.01~24.01,2022,신정동,"1,000",학마을1단지,1,84,7,49.99,"1,000",80,1293,11470,4
,1988,,,2022,신정동,"30,000",목동신시가지12,1,100,7,71.64,,,326,11470,3
사용,2000,갱신,22.02~24.02,2022,신정동,"39,900",목동우성2,1,0,7,84.96,"38,000",0,337,11470,12
,1987,,,2022,신정동,"36,750",목동신시가지9,1,0,8,53.82,,,312,11470,13
사용,1987,갱신,22.02~24.02,2022,신정동,"68,000",목동신시가지9,1,0,8,100.33,"65,000",0,312,11470,3
,1987,신규,22.02~24.02,2022,신정동,"75,000",목동신시가지8,1,0,8,71.77,0,0,314,11470,18
,1987,신규,22.01~22.03,2022,신정동,500,목동신시가지8,1,110,8,54.94,0,0,314,11470,20
