갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,1988,,,2019,신정동,"3,000",목동신시가지11,5,70,1,51.48,,,325,11470,13
,2000,,,2019,신정동,"20,000",학마을1단지,5,0,1,49.98,,,1293,11470,4
,1987,,,2019,신정동,"58,000",목동신시가지10,5,0,1,106.06,,,311,11470,4
,2019,,,2019,신정동,"54,000",목동파크자이(101동~108동),5,0,2,84.949,,,1325,11470,2
,1987,,,2019,신정동,"16,500",목동신시가지13,5,28,2,53.9,,,327,11470,3
,2001,,,2019,신정동,"23,000",푸른마을2,5,0,2,59.99,,,1281,11470,11
,2005,,,2019,신정동,"49,000",동일하이빌1단지,5,0,2,115.321,,,1310,11470,4
,1987,,,2019,신정동,"51,000",목동신시가지10,5,0,2,106.06,,,311,11470,4
,1997,,,2019,신정동,"31,000",삼천리,5,0,2,59.03,,,997-6,11470,2
,1988,,,2019,신정동,"24,500",목동신시가지11,5,0,2,51.48,,,325,11470,5
,1987,,,2019,신정동,"32,000",목동신시가지8,5,0,3,54.94,,,314,11470,11
,1988,,,2019,신정동,"20,000",목동신시가지12,5,30,3,53.46,,,326,11470,7
,1988,,,2019,신정동,"5,000",목동신시가지14,5,80,3,55.02,,,329,11470,2
,2004,,,2019,신정동,"45,000",대림e-편한세상,5,0,3,84.985,,,1303,11470,3
,1987,,,2019,신정동,"10,000",목동신시가지10,5,140,3,105.58,,,311,11470,2
,2000,,,2019,신정동,"20,000",학마을1단지,5,0,3,49.99,,,1293,11470,4
,1987,,,2019,신정동,"40,000",목동신시가지10,5,0,3,70.2,,,311,11470,6
,1988,,,2019,신정동,"27,000",목동신시가지12,5,0,3,56.76,,,326,11470,1
,2002,,,2019,신정동,"35,000",푸른마을4,5,0,3,84.99,,,1285,11470,11
,2004,,,2019,신정동,"30,000",주건드림빌,5,30,3,79.19,,,1302,11470,13
,1987,,,2019,신정동,"50,000",목동신시가지13,5,0,3,98.63,,,327,11470,10
,1988,,,2019,신정동,"38,000",목동신시가지14,5,0,4,71.4,,,329,11470,6
,1987,,,2019,신정동,"57,000",목동신시가지13,5,0,4,122.3,,,327,11470,14
,2002,,,2019,신정동,"30,000",동원데쟈뷰,5,0,4,84.43,,,938-7,11470,4
,2000,,,2019,신정동,"20,000",학마을1단지,5,0,4,49.99,,,1293,11470,13
,2000,,,2019,신정동,"34,000",목동우성2,5,0,4,84.96,,,337,11470,16
,1990,,,2019,신정동,"53,000",유원목동,5,0,4,84.96,,,87-39,11470,14
,1988,,,2019,신정동,"40,000",목동신시가지11,5,0,4,75.68,,,325,11470,5
,1988,,,2019,신정동,"27,800",목동신시가지11,5,0,4,66.24,,,325,11470,12
,2019,,,2019,신정동,"57,000",목동파크자이(101동~108동),5,0,4,84.977,,,1325,11470,7
,2019,,,2019,신정동,"52,000",목동파크자이(101동~108동),5,0,4,84.977,,,1325,11470,2
,2001,,,2019,신정동,"23,000",푸른마을2,5,0,4,59.91,,,1281,11470,6
,2000,,,2019,신정동,"34,000",목동우성2,5,0,4,84.96,,,337,11470,9
,1987,,,2019,신정동,"68,000",목동신시가지10,5,0,4,124.51,,,311,11470,2
,1988,,,2019,신정동,"14,000",목동신시가지11,5,20,6,51.48,,,325,11470,5
,1987,,,2019,신정동,"33,000",목동신시가지8,5,0,6,54.94,,,314,11470,17
,1987,,,2019,신정동,"33,000",목동신시가지8,5,0,6,54.94,,,314,11470,17
,2001,,,2019,신정동,"39,000",파인빌,5,0,6,73.138,,,339,11470,6
,1988,,,2019,신정동,"5,000",목동신시가지12,5,110,7,71.64,,,326,11470,9
,1995,,,2019,신정동,"42,000",현대,5,0,7,84.84,,,1252,11470,9
,2019,,,2019,신정동,"56,000",목동파크자이(101동~108동),5,0,7,84.977,,,1325,11470,11
,1987,,,2019,신정동,"50,000",목동신시가지13,5,80,7,156.62,,,327,11470,3
,1988,,,2019,신정동,"23,000",목동신시가지11,5,20,7,66.24,,,325,11470,7
,1988,,,2019,신정동,"5,000",목동신시가지10,5,87,7,53.82,,,311,11470,13
,2019,,,2019,신정동,"50,000",목동파크자이(101동~108동),5,0,8,84.977,,,1325,11470,7
,1988,,,2019,신정동,"13,000",목동신시가지11,5,50,8,51.48,,,325,11470,10
,2003,,,2019,신정동,"20,000",동국화이트빌B동,5,40,8,84.65,,,879-5,11470,2
,2019,,,2019,신정동,"20,000",목동파크자이(101동~108동),5,110,8,84.977,,,1325,11470,7
,2019,,,2019,신정동,"53,000",목동파크자이(101동~108동),5,0,9,84.977,,,1325,11470,3
,1996,,,2019,신정동,"32,000",건영,5,0,9,59.65,,,890-13,11470,8
,1996,,,2019,신정동,"32,000",건영,5,0,9,59.65,,,890-13,11470,8
,1987,,,2019,신정동,"42,000",목동신시가지8,5,0,9,71.77,,,314,11470,15
,1987,,,2019,신정동,"10,000",목동신시가지8,5,55,9,54.94,,,314,11470,14
,1988,,,2019,신정동,"22,000",목동신시가지10,5,0,9,53.82,,,311,11470,10
,1987,,,2019,신정동,"42,000",목동신시가지10,5,65,9,127.21,,,311,11470,10
