갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
,2001,신규,21.10~23.10,2021,신정동,"35,000",푸른마을2,7,0,1,59.91,,,1281,11470,9
,2004,,,2021,신정동,"29,250",대림e-편한세상,7,63,1,109.905,,,1303,11470,11
,2004,,,2021,신정동,"26,250",대림e-편한세상,7,74,1,109.905,,,1303,11470,11
,2002,신규,21.08~23.08,2021,신정동,"2,000",아이파크,7,80,1,59.82,0,0,1296,11470,8
,2001,신규,21.08~23.08,2021,신정동,"60,000",목동2삼성래미안,7,0,1,59.92,,,1295,11470,1
,2004,신규,21.09~23.09,2021,신정동,"26,250",대림e-편한세상,7,74,1,109.905,,,1303,11470,11
,2003,갱신,21.07~22.07,2021,신정동,"68,250",굿모닝탑,7,0,1,146.12,"65,000",0,324-10,11470,9
사용,1997,갱신,21.07~22.11,2021,신정동,"49,600",목동현대3차,7,0,1,84.77,"47,250",0,1279,11470,2
,2000,신규,21.08~23.08,2021,신정동,"44,000",목동우성2,7,0,1,113.91,,,337,11470,13
,2000,갱신,21.08~23.08,2021,신정동,"47,250",목동우성2,7,0,1,113.91,"45,000",0,337,11470,2
,2000,신규,21.09~23.09,2021,신정동,"63,000",목동우성2,7,0,1,84.96,,,337,11470,10
,1987,갱신,21.07~23.07,2021,신정동,"44,000",목동신시가지13,7,0,1,70.73,"42,000",0,327,11470,2
,2011,,21.07~23.06,2021,신정동,"13,186",이펜하우스2단지,7,0,2,59.94,,,1322,11470,1
,2000,갱신,21.08~23.08,2021,신정동,"38,800",목동우성2,7,0,2,84.96,"37,000",0,337,11470,11
,1997,신규,21.08~23.08,2021,신정동,"55,000",목동현대3차,7,50,2,84.77,,,1279,11470,2
,1997,,,2021,신정동,"55,000",목동현대3차,7,50,2,84.77,,,1279,11470,2
사용,1987,갱신,21.09~23.09,2021,신정동,"14,700",목동신시가지8,7,47,2,54.94,"14,000",45,314,11470,7
,1987,갱신,21.08~24.02,2021,신정동,"20,000",목동신시가지8,7,80,2,54.94,"8,000",80,314,11470,1
,1987,갱신,21.08~23.08,2021,신정동,"5,000",목동신시가지8,7,125,2,54.94,"5,000",80,314,11470,14
사용,1987,갱신,21.08~23.08,2021,신정동,"47,250",목동신시가지9,7,0,2,71.37,"45,000",0,312,11470,2
,1987,신규,21.09~23.09,2021,신정동,"90,000",목동신시가지9,7,0,2,106.93,,,312,11470,6
,1987,,21.08~23.08,2021,신정동,"47,250",목동신시가지9,7,0,2,71.37,,,312,11470,2
사용,2000,갱신,21.07~22.01,2021,신정동,"48,300",목동우성2,7,0,2,113.91,"46,000",0,337,11470,4
사용,1987,갱신,21.07~23.03,2021,신정동,"63,000",목동신시가지13,7,0,2,98.63,"60,000",0,327,11470,3
사용,1987,갱신,21.08~23.08,2021,신정동,"25,000",목동신시가지13,7,34,2,70.73,"25,000",30,327,11470,9
,1987,신규,21.09~23.09,2021,신정동,"65,000",목동신시가지14,7,0,2,71.4,,,329,11470,8
,1987,신규,21.09~23.09,2021,신정동,"20,000",목동신시가지10,7,230,2,105.58,,,311,11470,11
,1988,신규,21.07~23.07,2021,신정동,"42,000",목동신시가지11,7,0,2,51.48,,,325,11470,3
,2021,신규,21.08~23.08,2021,신정동,"30,000",래미안목동아델리체(1326),7,140,3,84.72,,,1326,11470,2
