"시도별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]","15-64세 고용률[%]",
"계","2004.09 월","37847.8","23735.1","22943.8","791.3","14112.6","62.7","3.3","60.6","64.2",
"계","2004.10 월","37875.4","23840.4","23031","809.4","14035","62.9","3.4","60.8","64.4",
"계","2004.11 월","37898.7","23738.4","22917.6","820.8","14160.3","62.6","3.5","60.5","64.2",
"계","2004.12 월","37920.6","23497.7","22597.7","899.9","14422.9","62","3.8","59.6","63.7",
"계","2005.01 월","37944.2","23141.4","22157.7","983.7","14802.8","61","4.3","58.4","62.6",
"계","2005.02 월","37974.9","23127.3","22134.7","992.7","14847.6","60.9","4.3","58.3","62.4",
"계","2005.03 월","38001.3","23549.5","22590.3","959.2","14451.8","62","4.1","59.4","63.3",
"계","2005.04 월","38027.1","23823.3","22919","904.3","14203.8","62.6","3.8","60.3","64",
"계","2005.05 월","38054","23995.3","23143.2","852.1","14058.7","63.1","3.6","60.8","64.5",
"계","2005.06 월","38082.7","24028.1","23152.2","875.9","14054.6","63.1","3.6","60.8","64.4",
"계","2005.07 월","38117","23991.1","23105.9","885.2","14126","62.9","3.7","60.6","64.3",
"계","2005.08 월","38159","23619.4","22778.8","840.6","14539.7","61.9","3.6","59.7","63.5",
"계","2005.09 월","38204.3","23863.4","22996.4","866.9","14340.9","62.5","3.6","60.2","63.9",
"계","2005.10 월","38247.4","24014.5","23145.3","869.2","14232.9","62.8","3.6","60.5","64.2",
"계","2005.11 월","38291.8","23949.7","23164.4","785.2","14342.2","62.5","3.3","60.5","64.4",
"계","2005.12 월","38330.5","23516.8","22684.6","832.2","14813.7","61.4","3.5","59.2","63.5",
"계","2006.01 월","38380.6","23346.6","22469.8","876.8","15034","60.8","3.8","58.5","63",
"계","2006.02 월","38423.9","23373.6","22413","960.6","15050.3","60.8","4.1","58.3","62.7",
"계","2006.03 월","38464.4","23783.4","22852.1","931.3","14681","61.8","3.9","59.4","63.5",
"계","2006.04 월","38512","24098.1","23247.3","850.8","14413.9","62.6","3.5","60.4","64.3",
"계","2006.05 월","38561.8","24285.7","23496.5","789.2","14276.2","63","3.2","60.9","64.7",
"계","2006.06 월","38612.4","24343.2","23520.3","822.9","14269.2","63","3.4","60.9","64.7",
"계","2006.07 월","38660.8","24309.7","23475.9","833.9","14351.1","62.9","3.4","60.7","64.5",
"계","2006.08 월","38709.3","24027.1","23211.4","815.7","14682.2","62.1","3.4","60","63.7",
"계","2006.09 월","38750.9","24168.4","23391.6","776.8","14582.5","62.4","3.2","60.4","64.1",
"계","2006.10 월","38796.6","24337.9","23536.9","801.1","14458.6","62.7","3.3","60.7","64.3",
"계","2006.11 월","38833.7","24323.1","23546.6","776.5","14510.6","62.6","3.2","60.6","64.5",
"계","2006.12 월","38874.1","23888.4","23095.4","793.1","14985.7","61.5","3.3","59.4","63.7",
"계","2007.01 월","38924.6","23709.3","22846.2","863.1","15215.3","60.9","3.6","58.7","63.1",
"계","2007.02 월","38964.9","23659.8","22790.5","869.3","15305.1","60.7","3.7","58.5","62.8",
"계","2007.03 월","39006.8","24082.4","23235.4","847","14924.5","61.7","3.5","59.6","63.7",
"계","2007.04 월","39049","24453.7","23629.4","824.3","14595.3","62.6","3.4","60.5","64.4",
"계","2007.05 월","39098.6","24648.4","23862.9","785.5","14450.3","63","3.2","61","64.8",
"계","2007.06 월","39149.4","24701.9","23919.7","782.2","14447.5","63.1","3.2","61.1","64.9",
"계","2007.07 월","39197.1","24667.4","23865.3","802","14529.8","62.9","3.3","60.9","64.8",
"계","2007.08 월","39248.7","24347","23581.5","765.4","14901.7","62","3.1","60.1","63.9",
"계","2007.09 월","39300.2","24487.1","23759.1","728","14813.1","62.3","3","60.5","64.3",
"계","2007.10 월","39356.3","24642.8","23904.6","738.2","14713.5","62.6","3","60.7","64.6",
"계","2007.11 월","39406.2","24643.4","23906.5","736.8","14762.9","62.5","3","60.7","64.7",
"계","2007.12 월","39456.2","24173.3","23432.2","741","15282.9","61.3","3.1","59.4","63.8",
"계","2008.01 월","39513.8","23920.9","23141.2","779.7","15592.8","60.5","3.3","58.6","63.2",
"계","2008.02 월","39563.6","23893.5","23064.7","828.8","15670.1","60.4","3.5","58.3","62.8",
"계","2008.03 월","39611.3","24308.9","23490","818.9","15302.3","61.4","3.4","59.3","63.6",
