시도별,시점,15세이상인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%],15-64세 고용률[%]
서울특별시,201402,8605.2,5466.8,5191.6,275.2,3138.4,63.5,5.0,60.3,65.6
서울특별시,201403,8607.1,5446.2,5193.2,253.0,3160.9,63.3,4.6,60.3,65.3
서울특별시,201404,8609.1,5476.3,5210.4,265.8,3132.8,63.6,4.9,60.5,65.6
서울특별시,201405,8611.5,5458.7,5200.0,258.7,3152.8,63.4,4.7,60.4,65.4
서울특별시,201406,8613.8,5443.0,5203.6,239.3,3170.8,63.2,4.4,60.4,65.4
서울특별시,201407,8614.5,5471.6,5222.9,248.7,3142.9,63.5,4.5,60.6,65.7
서울특별시,201408,8615.6,5434.7,5205.2,229.5,3180.9,63.1,4.2,60.4,65.4
서울특별시,201409,8615.7,5451.1,5216.5,234.6,3164.6,63.3,4.3,60.5,65.7
서울특별시,201410,8615.1,5463.4,5220.4,242.9,3151.7,63.4,4.4,60.6,65.8
서울특별시,201411,8615.6,5456.8,5251.5,205.2,3158.8,63.3,3.8,61.0,66.3
서울특별시,201412,8615.7,5443.0,5220.0,223.0,3172.7,63.2,4.1,60.6,66.2
서울특별시,201501,8616.0,5398.2,5166.5,231.6,3217.8,62.7,4.3,60.0,65.6
서울특별시,201502,8617.0,5395.2,5142.8,252.4,3221.8,62.6,4.7,59.7,65.3
서울특별시,201503,8617.1,5384.0,5130.8,253.2,3233.1,62.5,4.7,59.5,64.9
서울특별시,201504,8617.9,5393.2,5139.2,254.0,3224.7,62.6,4.7,59.6,65.1
서울특별시,201505,8618.3,5434.3,5200.0,234.3,3184.0,63.1,4.3,60.3,65.9
서울특별시,201506,8618.7,5405.4,5152.9,252.5,3213.3,62.7,4.7,59.8,65.2
서울특별시,201507,8616.5,5417.0,5192.7,224.3,3199.5,62.9,4.1,60.3,65.7
서울특별시,201508,8612.0,5403.3,5194.0,209.4,3208.7,62.7,3.9,60.3,65.8
서울특별시,201509,8607.8,5373.7,5166.9,206.8,3234.1,62.4,3.8,60.0,65.5
서울특별시,201510,8602.9,5347.9,5157.2,190.7,3255.0,62.2,3.6,59.9,65.6
서울특별시,201511,8598.2,5366.9,5176.2,190.7,3231.3,62.4,3.6,60.2,65.8
서울특별시,201512,8593.9,5371.9,5162.9,209.0,3222.1,62.5,3.9,60.1,65.8
서울특별시,201601,8602.9,5349.0,5133.2,215.8,3253.9,62.2,4.0,59.7,65.6
서울특별시,201602,8598.5,5384.3,5101.1,283.2,3214.3,62.6,5.3,59.3,65.3
서울특별시,201603,8594.9,5307.9,5054.4,253.5,3287.0,61.8,4.8,58.8,64.6
서울특별시,201604,8590.3,5327.8,5098.3,229.4,3262.6,62.0,4.3,59.3,65.1
서울특별시,201605,8586.5,5400.2,5169.2,231.0,3186.3,62.9,4.3,60.2,66.0
서울특별시,201606,8581.7,5396.8,5179.2,217.6,3184.9,62.9,4.0,60.4,66.2
서울특별시,201607,8578.1,5390.3,5184.7,205.6,3187.8,62.8,3.8,60.4,66.3
서울특별시,201608,8576.1,5369.9,5145.0,224.8,3206.2,62.6,4.2,60.0,65.6
서울특별시,201609,8574.2,5383.0,5158.0,225.0,3191.2,62.8,4.2,60.2,65.8
서울특별시,201610,8572.2,5401.9,5183.5,218.4,3170.3,63.0,4.0,60.5,66.2
서울특별시,201611,8570.3,5384.6,5183.6,201.0,3185.6,62.8,3.7,60.5,66.3
서울특별시,201612,8568.2,5367.0,5164.0,203.0,3201.2,62.6,3.8,60.3,66.2
서울특별시,201701,8567.8,5325.8,5087.4,238.3,3242.0,62.2,4.5,59.4,65.4
서울특별시,201702,8566.1,5401.3,5112.0,289.3,3164.7,63.1,5.4,59.7,65.8
서울특별시,201703,8564.5,5377.3,5114.3,262.9,3187.2,62.8,4.9,59.7,65.8
서울특별시,201704,8562.4,5404.6,5132.2,272.4,3157.8,63.1,5.0,59.9,66.1
서울특별시,201705,8561.3,5403.7,5177.2,226.5,3157.6,63.1,4.2,60.5,66.6
서울특별시,201706,8558.7,5433.1,5206.3,226.7,3125.6,63.5,4.2,60.8,66.9
서울특별시,201707,8555.9,5443.6,5215.2,228.5,3112.3,63.6,4.2,61.0,67.1
서울특별시,201708,8553.3,5433.8,5185.1,248.7,3119.5,63.5,4.6,60.6,66.8
서울특별시,201709,8550.2,5419.2,5168.2,251.0,3131.0,63.4,4.6,60.4,66.6
서울특별시,201710,8548.5,5385.3,5160.9,224.4,3163.2,63.0,4.2,60.4,66.6
