거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"105,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,10,1,11470-123,71.4,,329,11470,3,,
"40,300",,2001,2019,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,10,1,11470-150,59.91,,1281,11470,10,,
"72,000",,1992,2019,신목로2길,00011,00000,11470,01,0,4142233,신정동,0336,0000,11470,10100,1,청구,10,1,11470-147,84.99,,336,11470,6,,
"45,900",,2000,2019,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,10,1,11470-140,59.73,,1277,11470,9,,
"87,000",,1996,2019,신목로,00007,00000,11470,01,0,3114009,신정동,1278,0000,11470,10100,1,목동삼성,10,1,11470-132,84.77,,1278,11470,22,,
"111,500",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,10,1,11470-125,71.37,,312,11470,3,,
"105,000",,1987,2019,목동서로,00400,00000,11470,01,0,3114003,신정동,0311,0000,11470,10100,1,목동신시가지10,10,2,11470-119,70.2,,311,11470,5,,
"44,200",,2011,2019,신정이펜1로,00051,00000,11470,01,0,3114017,신정동,1317,0000,11470,10100,1,이펜하우스4단지,10,2,11470-4601,59.93,,1317,11470,4,,
"84,900",,2001,2019,목동남로4길,00081,00000,11470,01,0,4142095,신정동,1295,0000,11470,10100,1,목동2삼성래미안,10,2,11470-172,84.65,,1295,11470,10,,
"71,000",,1995,2019,신목로,00023,00000,11470,01,0,3114009,신정동,1252,0000,11470,10100,1,현대,10,2,11470-154,84.84,,1252,11470,20,,
