거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"44,200",,2011,2020,신정이펜1로,00051,00000,11470,01,0,3114017,신정동,1317,0000,11470,10100,1,이펜하우스4단지,3,1,11470-4601,59.93,,1317,11470,4,,
"59,000",,2001,2020,신목로12길,00017,00000,11470,01,0,4142230,신정동,0339,0000,11470,10100,1,파인빌,3,2,11470-149,59.6405,,339,11470,7,,
"64,700",,2011,2020,신정이펜1로,00050,00000,11470,01,0,3114017,신정동,1316,0000,11470,10100,1,이펜하우스3단지,3,2,11470-4600,84.51,,1316,11470,10,,
"50,000",,2002,2020,신정중앙로15길,00005,00015,11470,01,0,4142266,신정동,0872,0006,11470,10100,1,팰리스필,3,3,11470-168,80.11,,872-6,11470,7,,
"58,500",,2016,2020,신정로,00110,00000,11470,00,0,3005066,신정동,1324,0000,11470,10100,1,신정숲속마을,3,3,11470-5318,74.97,,1324,11470,4,,
"93,800",,2001,2020,목동남로4길,00081,00000,11470,01,0,4142095,신정동,1295,0000,11470,10100,1,목동2삼성래미안,3,3,11470-172,84.65,,1295,11470,5,,
"83,500",,1992,2020,신목로,00009,00000,11470,01,0,3114009,신정동,0334,0000,11470,10100,1,쌍용,3,5,11470-142,84.65,,334,11470,9,,
"59,500",,2011,2020,신정이펜2로,00055,00000,11470,01,0,3114018,신정동,1322,0000,11470,10100,1,이펜하우스2단지,3,5,11470-4576,84.51,,1322,11470,4,,
"42,000",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,3,5,11470-153,49.98,,1293,11470,3,,
"43,000",,2001,2020,신정로11길,00063,00000,11470,01,0,4142256,신정동,1283,0000,11470,10100,1,푸른마을3,3,6,11470-151,59.99,,1283,11470,2,,
"44,400",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,3,6,11470-153,49.99,,1293,11470,9,,
"87,000",,1988,2020,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,3,7,11470-120,51.48,,325,11470,11,,
"47,500",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,3,7,11470-150,59.99,,1281,11470,12,,
"58,500",,2001,2020,신목로12길,00017,00000,11470,01,0,4142230,신정동,0339,0000,11470,10100,1,파인빌,3,7,11470-149,59.728,,339,11470,5,,
"49,500",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,3,7,11470-140,48.96,,1277,11470,5,,
"79,500",,2000,2020,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,3,7,11470-139,84.8,,1276,11470,7,,
"54,400",,1999,2020,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,3,7,11470-138,49.8,,1259,11470,12,,
"121,500",,1988,2020,목동동로,00050,00000,11470,01,0,3114001,신정동,0326,0000,11470,10100,1,목동신시가지12,3,9,11470-121,71.64,,326,11470,11,,
"78,500",,2000,2020,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,3,9,11470-139,84.25,,1276,11470,4,,
"48,500",,2004,2020,중앙로29길,00102,00000,11470,01,0,4142369,신정동,1198,0023,11470,10100,1,대성유니드1차,3,10,11470-241,59.87,,1198-23,11470,9,,
"132,500",,1987,2020,목동서로,00400,00000,11470,01,0,3114003,신정동,0311,0000,11470,10100,1,목동신시가지10,3,11,11470-119,70.2,,311,11470,10,,
"156,000",,1987,2020,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,3,11,11470-123,108.28,,329,11470,4,,
"110,000",,1997,2020,목동동로12길,00060,00000,11470,01,0,4142097,신정동,1279,0000,11470,10100,1,목동현대3차,3,12,11470-128,84.77,,1279,11470,13,20.03.25,O
"40,300",,2007,2020,은행정로11나길,00012,00000,11470,01,0,4142336,신정동,0958,0012,11470,10100,1,지오프레저102동,3,12,11470-4180,74.34,,958-12,11470,1,,
"88,400",,1999,2020,신정로,00300,00000,11470,01,0,3005066,신정동,1273,0000,11470,10100,1,신정현대5,3,13,11470-137,114.24,,1273,11470,8,,
"66,500",,2006,2020,목동남로2길,00060,00030,11470,01,0,4142093,신정동,1306,0000,11470,10100,1,세양청마루,3,13,11470-4015,59.98,,1306,11470,13,,
"85,000",,2000,2020,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,3,14,11470-126,84.96,,337,11470,15,,
"79,000",,2001,2020,목동남로4길,00081,00000,11470,01,0,4142095,신정동,1295,0000,11470,10100,1,목동2삼성래미안,3,14,11470-172,59.92,,1295,11470,13,,
"44,400",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,3,14,11470-140,49.08,,1277,11470,4,,
"53,500",,1999,2020,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,3,14,11470-138,49.8,,1259,11470,10,,
"52,000",,2000,2020,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,3,14,11470-136,59.4,,743-2,11470,13,,
"82,500",,2000,2020,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,3,14,11470-126,84.96,,337,11470,15,20.06.17,O
"86,000",,2000,2020,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,3,14,11470-126,84.96,,337,11470,13,20.06.18,O
"85,800",,2000,2020,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,3,17,11470-126,84.96,,337,11470,16,,
"80,700",,2001,2020,목동남로4길,00081,00000,11470,01,0,4142095,신정동,1295,0000,11470,10100,1,목동2삼성래미안,3,17,11470-172,59.92,,1295,11470,15,,
"59,000",,1999,2020,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,3,17,11470-138,59.73,,1259,11470,1,20.05.10,O
"160,000",,1987,2020,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,3,18,11470-122,124.55,,327,11470,2,,
"50,500",,2011,2020,신정이펜1로,00099,00000,11470,01,0,3114017,신정동,1321,0000,11470,10100,1,이펜하우스1단지,3,18,11470-4594,59.93,,1321,11470,9,,
"50,500",,2000,2020,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,3,18,11470-136,59.4,,743-2,11470,7,,
