거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"49,000",,2000,2019,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,7,1,11470-140,59.73,,1277,11470,6,,
"55,000",,2008,2019,목동로27길,00015,00000,11470,01,0,4142115,신정동,0895,0003,11470,10100,1,예지팰리스50차,7,1,11470-4324,81.88,,895-3,11470,2,,
"70,400",,2006,2019,목동남로2길,00060,00030,11470,01,0,4142093,신정동,1306,0000,11470,10100,1,세양청마루,7,1,11470-4015,84.98,,1306,11470,11,,
"71,000",,2006,2019,목동남로2길,00060,00030,11470,01,0,4142093,신정동,1306,0000,11470,10100,1,세양청마루,7,1,11470-4015,84.98,,1306,11470,6,,
"49,700",,2005,2019,오목로50길,00017,00000,11470,01,0,4142304,신정동,0995,0003,11470,10100,1,휘버스,7,1,11470-3957,83.25,,995-3,11470,5,,
"33,000",,2004,2019,오목로29길,00025,00001,11470,01,0,4142290,신정동,0927,0004,11470,10100,1,예지보금자리(102동),7,1,11470-223,83.61,,927-4,11470,7,,
"116,500",,2004,2019,목동동로,00177,00000,11470,01,0,3114001,신정동,0318,0012,11470,10100,1,목동삼성쉐르빌Ⅱ,7,1,11470-210,142.79,,318-12,11470,20,,
"131,500",,2003,2019,목동동로,00189,00000,11470,01,0,3114001,신정동,0318,0010,11470,10100,1,삼성쉐르빌,7,1,11470-203,197.65,,318-10,11470,14,,
"36,500",,2000,2019,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,7,1,11470-140,49.5,,1277,11470,6,,
"100,000",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,7,2,11470-122,70.73,,327,11470,3,,
"55,000",,2016,2019,신정로,00110,00000,11470,00,0,3005066,신정동,1324,0000,11470,10100,1,신정숲속마을,7,2,11470-5318,84.99,,1324,11470,15,,
"109,500",,2016,2019,중앙로36길,00015,00000,11470,01,0,4142376,신정동,1323,0000,11470,10100,1,목동힐스테이트,7,2,11470-5271,84.88,,1323,11470,2,,
"88,000",,2004,2019,목동동로10길,00016,00006,11470,01,0,4142096,신정동,1307,0000,11470,10100,1,경남아너스빌,7,2,11470-247,84.99,,1307,11470,11,,
"39,400",,2003,2019,중앙로29길,00074,00000,11470,01,0,4142369,신정동,1218,0001,11470,10100,1,일진아이윌,7,2,11470-243,84.982,,1218-1,11470,4,,
"142,500",,2003,2019,목동동로,00189,00000,11470,01,0,3114001,신정동,0318,0010,11470,10100,1,삼성쉐르빌,7,2,11470-203,205.12,,318-10,11470,16,,
"101,000",,2002,2019,목동동로,00180,00000,11470,01,0,3114001,신정동,1296,0000,11470,10100,1,아이파크,7,2,11470-157,84.74,,1296,11470,4,,
"110,000",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,7,2,11470-125,71.37,,312,11470,1,,
"155,000",,1987,2019,목동서로,00280,00000,11470,01,0,3114003,신정동,0314,0000,11470,10100,1,목동신시가지8,7,2,11470-124,105.35,,314,11470,14,,
"126,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,7,2,11470-123,83.31,,329,11470,5,,
"144,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,7,2,11470-123,108.28,,329,11470,15,,
"137,000",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,7,2,11470-122,103.97,,327,11470,1,,
"135,000",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,7,2,11470-122,98.63,,327,11470,4,,
"85,000",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,7,2,11470-122,53.9,,327,11470,12,,
"102,300",,1988,2019,목동동로,00050,00000,11470,01,0,3114001,신정동,0326,0000,11470,10100,1,목동신시가지12,7,3,11470-121,71.64,,326,11470,13,,
"112,000",,2016,2019,중앙로36길,00015,00000,11470,01,0,4142376,신정동,1323,0000,11470,10100,1,목동힐스테이트,7,3,11470-5271,84.88,,1323,11470,5,,
"111,500",,2016,2019,중앙로36길,00015,00000,11470,01,0,4142376,신정동,1323,0000,11470,10100,1,목동힐스테이트,7,3,11470-5271,84.93,,1323,11470,18,,
"72,200",,1995,2019,신목로,00023,00000,11470,01,0,3114009,신정동,1252,0000,11470,10100,1,현대,7,3,11470-154,84.84,,1252,11470,7,,
"33,000",,2000,2019,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,7,3,11470-140,48.96,,1277,11470,8,,
"138,000",,1987,2019,목동서로,00400,00000,11470,01,0,3114003,신정동,0311,0000,11470,10100,1,목동신시가지10,7,4,11470-119,105.58,,311,11470,6,,
"56,300",,2011,2019,신정이펜2로,00055,00000,11470,01,0,3114018,신정동,1322,0000,11470,10100,1,이펜하우스2단지,7,4,11470-4576,84.51,,1322,11470,3,,
"51,000",,2003,2019,목동로29길,00016,00000,11470,01,0,4142116,신정동,0893,0009,11470,10100,1,로데오휘버스빌,7,4,11470-180,84.99,,893-9,11470,6,,
"90,000",,1997,2019,목동동로12길,00060,00000,11470,01,0,4142097,신정동,1279,0000,11470,10100,1,목동현대3차,7,4,11470-128,84.77,,1279,11470,11,,
"103,000",,1987,2019,목동서로,00400,00000,11470,01,0,3114003,신정동,0311,0000,11470,10100,1,목동신시가지10,7,4,11470-119,70.2,,311,11470,3,,
