거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"55,000",,2006,2019,목동로29길,00007,00000,11470,01,0,4142116,신정동,1308,0000,11470,10100,1,동원로데오(1308),3,1,11470-3993,84.2,,1308,11470,3,,
"66,000",,2005,2019,신정로11길,00020,00000,11470,01,0,4142256,신정동,1311,0000,11470,10100,1,동일하이빌2단지,3,2,11470-3928,84.955,,1311,11470,22,,
"73,000",,2005,2019,신정로11길,00020,00000,11470,01,0,4142256,신정동,1311,0000,11470,10100,1,동일하이빌2단지,3,3,11470-3928,84.955,,1311,11470,3,,
"90,000",,2004,2019,목동동로10길,00016,00006,11470,01,0,4142096,신정동,1307,0000,11470,10100,1,경남아너스빌,3,4,11470-247,96.17,,1307,11470,18,,
"90,000",,2016,2019,중앙로36길,00015,00000,11470,01,0,4142376,신정동,1323,0000,11470,10100,1,목동힐스테이트,3,4,11470-5271,59.95,,1323,11470,7,,
"82,000",,2004,2019,목동동로10길,00016,00006,11470,01,0,4142096,신정동,1307,0000,11470,10100,1,경남아너스빌,3,4,11470-247,84.98,,1307,11470,7,,
"67,000",,1988,2019,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,3,5,11470-120,51.48,,325,11470,13,,
"72,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,3,5,11470-123,55.02,,329,11470,5,,
"108,000",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,3,6,11470-122,98.63,,327,11470,12,,
"40,000",,2004,2019,오목로,00137,00000,11470,01,0,3114014,신정동,0929,0025,11470,10100,1,이지라이프,3,6,11470-225,84.97,,929-25,11470,1,,
"30,000",,1987,2019,신정로13길,00035,00000,11470,01,0,4142258,신정동,0733,0031,11470,10100,1,수정,3,6,11470-135,48.87,,733-31,11470,3,,
"53,000",,1999,2019,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,3,7,11470-138,59.73,,1259,11470,4,,
"48,000",,1996,2019,신정중앙로,00068,00000,11470,01,0,3114011,신정동,0905,0002,11470,10100,1,해풍,3,7,11470-218,136.43,,905-2,11470,7,,
"54,500",,2002,2019,신정로,00225,00012,11470,01,0,3005066,신정동,1291,0000,11470,10100,1,학마을3,3,7,11470-171,84.85,,1291,11470,9,,
"64,500",,1997,2019,목동동로12길,00060,00000,11470,01,0,4142097,신정동,1279,0000,11470,10100,1,목동현대3차,3,8,11470-128,71.16,,1279,11470,2,,
"98,000",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,3,9,11470-125,71.37,,312,11470,5,,
"60,000",,2005,2019,신정로11길,00020,00000,11470,01,0,4142256,신정동,1310,0000,11470,10100,1,동일하이빌1단지,3,9,11470-3927,84.955,,1310,11470,7,,
"67,000",,2005,2019,신정로11길,00020,00000,11470,01,0,4142256,신정동,1310,0000,11470,10100,1,동일하이빌1단지,3,9,11470-3927,115.321,,1310,11470,2,,
"57,000",,2002,2019,신정로7길,00060,00007,11470,01,0,4142262,신정동,1285,0000,11470,10100,1,푸른마을4,3,9,11470-170,84.99,,1285,11470,4,,
"34,000",,2001,2019,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,3,9,11470-150,49.16,,1281,11470,10,,
"80,000",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,3,9,11470-125,53.82,,312,11470,7,,
"124,200",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,3,9,11470-125,106.39,,312,11470,4,,
"54,000",,2000,2019,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,3,11,11470-136,84.6,,743-2,11470,5,,
"25,500",,2000,2019,중앙로48길,00034,00000,11470,01,0,4142384,신정동,0963,0001,11470,10100,1,현대힐타운,3,11,11470-228,69.15,,963-1,11470,3,,
