거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"87,000",,1992,2020,신목로5길,00009,00000,11470,01,0,4142235,신정동,0333,0000,11470,10100,1,대림,2,1,11470-117,84.89,,333,11470,12,,
"79,000",,2005,2020,신정로11길,00020,00000,11470,01,0,4142256,신정동,1310,0000,11470,10100,1,동일하이빌1단지,2,1,11470-3927,84.955,,1310,11470,8,,
"25,500",,2000,2020,국회대로8길,00008,00000,11470,01,0,4142026,신정동,0894,0020,11470,10100,1,삼성,2,1,11470-217,65.31,,894-20,11470,3,,
"51,500",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,1,11470-150,59.85,,1281,11470,7,,
"46,000",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,2,1,11470-140,48.96,,1277,11470,12,,
"79,000",,2000,2020,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,2,1,11470-139,84.8,,1276,11470,9,,
"77,200",,2000,2020,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,2,1,11470-139,84.25,,1276,11470,8,,
"50,000",,1999,2020,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,2,1,11470-138,49.8,,1259,11470,6,,
"88,500",,1999,2020,신정로,00300,00000,11470,01,0,3005066,신정동,1273,0000,11470,10100,1,신정현대5,2,1,11470-137,114.24,,1273,11470,9,,
"99,000",,1988,2020,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,2,1,11470-120,59.29,,325,11470,3,,
"79,000",,2001,2020,목동남로4길,00081,00000,11470,01,0,4142095,신정동,1295,0000,11470,10100,1,목동2삼성래미안,2,2,11470-172,59.54,,1295,11470,7,,
"113,800",,1988,2020,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,2,3,11470-120,66.24,,325,11470,8,,
"60,000",,2011,2020,신정이펜1로,00050,00000,11470,01,0,3114017,신정동,1316,0000,11470,10100,1,이펜하우스3단지,2,3,11470-4600,84.96,,1316,11470,2,,
"60,000",,1996,2020,중앙로32길,00067,00000,11470,01,0,4142372,신정동,1021,0007,11470,10100,1,태화상가빌라트,2,3,11470-235,129.6,,1021-7,11470,2,,
"140,000",,1987,2020,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,2,3,11470-125,106.93,,312,11470,14,,
"119,500",,1987,2020,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,2,4,11470-123,74.19,,329,11470,3,,
"60,000",,2011,2020,신정이펜2로,00055,00000,11470,01,0,3114018,신정동,1322,0000,11470,10100,1,이펜하우스2단지,2,4,11470-4576,84.51,,1322,11470,2,,
"44,200",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,2,4,11470-153,49.99,,1293,11470,9,,
"121,000",,1987,2020,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,2,5,11470-122,70.73,,327,11470,15,,
"82,000",,2005,2020,신정로11길,00020,00000,11470,01,0,4142256,신정동,1311,0000,11470,10100,1,동일하이빌2단지,2,5,11470-3928,115.321,,1311,11470,15,,
"38,500",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,5,11470-150,49.16,,1281,11470,12,,
"98,000",,1987,2020,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,2,5,11470-123,55.02,,329,11470,6,,
"39,500",,2003,2020,오목로35길,00005,00000,11470,01,0,4142294,신정동,0921,0011,11470,10100,1,보람쉬움,2,6,11470-162,54.821,,921-11,11470,6,,
"80,000",,2006,2020,목동남로2길,00060,00030,11470,01,0,4142093,신정동,1306,0000,11470,10100,1,세양청마루,2,6,11470-4015,84.98,,1306,11470,11,,
"51,500",,1999,2020,목동동로10길,00022,00000,11470,01,0,4142096,신정동,0296,0028,11470,10100,1,목동캐슬아파트,2,7,11470-134,85.32,,296-28,11470,4,,
"54,000",,2011,2020,신정이펜1로,00051,00000,11470,01,0,3114017,신정동,1317,0000,11470,10100,1,이펜하우스4단지,2,7,11470-4601,59.93,,1317,11470,10,,
"52,000",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,7,11470-150,59.85,,1281,11470,13,,
"80,500",,2000,2020,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,2,8,11470-126,84.96,,337,11470,4,,
"59,000",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,2,8,11470-153,59.98,,1293,11470,9,,
"56,000",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,2,8,11470-153,59.98,,1293,11470,14,,
"52,000",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,8,11470-150,59.85,,1281,11470,4,,
"37,000",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,8,11470-150,49.16,,1281,11470,4,,
"45,000",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,2,8,11470-140,49.8,,1277,11470,3,,
"45,000",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,2,8,11470-140,48.96,,1277,11470,2,,
"60,000",,1999,2020,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,2,8,11470-138,59.73,,1259,11470,10,,
"46,000",,1997,2020,목동로15길,00008,00000,11470,01,0,4142108,신정동,0997,0006,11470,10100,1,삼천리,2,10,11470-133,59.03,,997-6,11470,2,,
"79,500",,2011,2020,신정이펜1로,00027,00000,11470,01,0,3114017,신정동,1318,0000,11470,10100,1,이펜하우스5단지,2,10,11470-4574,114.73,,1318,11470,14,,
"160,000",,2003,2020,목동동로,00189,00000,11470,01,0,3114001,신정동,0318,0010,11470,10100,1,삼성쉐르빌,2,10,11470-203,221.44,,318-10,11470,20,,
"49,000",,2001,2020,신정로11길,00063,00000,11470,01,0,4142256,신정동,1283,0000,11470,10100,1,푸른마을3,2,10,11470-151,59.91,,1283,11470,6,,
"42,000",,2001,2020,신정로11길,00063,00000,11470,01,0,4142256,신정동,1283,0000,11470,10100,1,푸른마을3,2,10,11470-151,59.91,,1283,11470,1,,
"77,500",,2000,2020,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,2,11,11470-136,114.8,,743-2,11470,12,,
"85,000",,2005,2020,신정로11길,00020,00000,11470,01,0,4142256,신정동,1311,0000,11470,10100,1,동일하이빌2단지,2,11,11470-3928,115.321,,1311,11470,20,,
"57,000",,2004,2020,중앙로45길,00042,00000,11470,01,0,4142381,신정동,1304,0000,11470,10100,1,정은스카이빌2차,2,11,11470-245,84.98,,1304,11470,9,,
"41,500",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,2,11,11470-153,49.98,,1293,11470,13,,
"61,000",,1999,2020,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,2,11,11470-138,59.73,,1259,11470,12,,
"55,000",,1999,2020,목동남로4길,00020,00000,11470,01,0,4142095,신정동,0338,0000,11470,10100,1,목동우성3,2,12,11470-127,59.69,,338,11470,15,,
"35,000",,1992,2020,신목로5길,00023,00006,11470,01,0,4142235,신정동,0282,0016,11470,10100,1,진명,2,12,11470-209,44.16,,282-16,11470,3,,
"85,000",,2004,2020,신정로13길,00038,00000,11470,01,0,4142258,신정동,1303,0000,11470,10100,1,대림e-편한세상,2,12,11470-182,109.905,,1303,11470,18,,
"74,500",,2004,2020,신정로13길,00038,00000,11470,01,0,4142258,신정동,1303,0000,11470,10100,1,대림e-편한세상,2,12,11470-182,84.985,,1303,11470,14,,
"44,000",,2001,2020,신정로11길,00063,00000,11470,01,0,4142256,신정동,1283,0000,11470,10100,1,푸른마을3,2,12,11470-151,59.99,,1283,11470,11,,
"46,000",,2000,2020,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,2,12,11470-136,59.4,,743-2,11470,6,,
"93,000",,1997,2020,목동동로12길,00060,00000,11470,01,0,4142097,신정동,1279,0000,11470,10100,1,목동현대3차,2,14,11470-128,71.16,,1279,11470,15,,
"51,000",,1992,2020,신목로5길,00023,00006,11470,01,0,4142235,신정동,0282,0016,11470,10100,1,진명,2,14,11470-209,72.92,,282-16,11470,5,,
"42,400",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,2,14,11470-153,49.98,,1293,11470,2,,
"45,000",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,2,14,11470-140,49.5,,1277,11470,3,,
"48,900",,2000,2020,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,2,14,11470-136,59.4,,743-2,11470,6,,
"120,000",,1987,2020,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,2,15,11470-123,71.4,,329,11470,5,,
"65,000",,2003,2020,목동로29길,00016,00000,11470,01,0,4142116,신정동,0893,0009,11470,10100,1,로데오휘버스빌,2,15,11470-180,84.99,,893-9,11470,5,,
"43,000",,2000,2020,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,2,15,11470-153,49.99,,1293,11470,5,,
"45,000",,2001,2020,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,15,11470-150,59.91,,1281,11470,12,,
"47,000",,2000,2020,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,2,15,11470-140,49.8,,1277,11470,15,,
"80,000",,2000,2020,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,2,15,11470-139,84.8,,1276,11470,10,,
"80,000",,2000,2020,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,2,15,11470-139,84.8,,1276,11470,7,,
"68,000",,2000,2020,신정로,00170,00000,11470,01,0,3005066,신정동,0743,0002,11470,10100,1,신정6현대,2,15,11470-136,84.6,,743-2,11470,7,,
"98,700",,1987,2020,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,2,15,11470-123,55.02,,329,11470,11,,
