거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"230,000",,1987,2021,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,9,1,11470-123,129.33,,329,11470,12,,
"56,800",,2004,2021,오목로,00137,00000,11470,01,0,3114014,신정동,0929,0025,11470,10100,1,이지라이프,9,1,11470-225,84.68,,929-25,11470,6,,
"205,000",,2004,2021,목동동로,00177,00000,11470,01,0,3114001,신정동,0318,0012,11470,10100,1,목동삼성쉐르빌Ⅱ,9,2,11470-210,164.98,,318-12,11470,10,,
"157,000",,2019,2021,목동남로4길,00080,00000,11470,00,0,4142095,신정동,1325,0000,11470,10100,1,목동파크자이(101동~108동),9,3,11470-5547,84.977,,1325,11470,5,,
"109,500",,2000,2021,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,9,4,11470-126,84.96,,337,11470,2,,
"189,000",,2004,2021,신목로12길,00022,00000,11470,01,0,4142230,신정동,1309,0000,11470,10100,1,롯데캐슬,9,4,11470-248,131.47,,1309,11470,14,,
"189,000",,2004,2021,신목로12길,00022,00000,11470,01,0,4142230,신정동,1309,0000,11470,10100,1,롯데캐슬,9,4,11470-248,131.47,,1309,11470,14,21.12.02,O
"68,200",,1987,2021,신정로13길,00035,00000,11470,01,0,4142258,신정동,0733,0031,11470,10100,1,수정,9,4,11470-135,47.16,,733-31,11470,1,,
"138,000",,2003,2021,신목로,00043,00000,11470,01,0,3114009,신정동,1300,0000,11470,10100,1,명지해드는터,9,6,11470-184,84.98,,1300,11470,1,,
"142,500",,1997,2021,목동동로12길,00060,00000,11470,01,0,4142097,신정동,1279,0000,11470,10100,1,목동현대3차,9,7,11470-128,84.77,,1279,11470,4,,
"81,700",,2016,2021,신정로,00110,00000,11470,00,0,3005066,신정동,1324,0000,11470,10100,1,신정숲속마을,9,9,11470-5318,84.99,,1324,11470,13,,
"136,000",,1987,2021,목동서로,00400,00000,11470,01,0,3114003,신정동,0311,0000,11470,10100,1,목동신시가지10,9,10,11470-119,53.82,,311,11470,7,,
"170,000",,2016,2021,중앙로36길,00015,00000,11470,01,0,4142376,신정동,1323,0000,11470,10100,1,목동힐스테이트,9,10,11470-5271,84.93,,1323,11470,19,,
"70,000",,2000,2021,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,9,10,11470-140,59.44,,1277,11470,14,,
