거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"50,000",중개거래,1995,2022,은행정로7길,00008,00000,11470,01,0,4142350,신정동,0980,0005,11470,10100,1,은행,2,6,11470-145,73.07,서울 양천구,980-5,11470,1,,
"115,500",직거래,2000,2022,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,2,7,11470-126,113.91,,337,11470,9,,
"119,000",중개거래,1988,2022,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,2,9,11470-120,51.48,서울 양천구,325,11470,13,,
"109,000",중개거래,1995,2022,신목로,00023,00000,11470,01,0,3114009,신정동,1252,0000,11470,10100,1,현대,2,9,11470-154,84.84,서울 양천구,1252,11470,7,,
"90,000",중개거래,2002,2022,신정로7길,00060,00007,11470,01,0,4142262,신정동,1285,0000,11470,10100,1,푸른마을4,2,14,11470-170,84.99,서울 양천구,1285,11470,10,,
"69,000",중개거래,2001,2022,신정로7길,00076,00000,11470,01,0,4142262,신정동,1281,0000,11470,10100,1,푸른마을2,2,16,11470-150,59.85,서울 양천구,1281,11470,15,,
"198,000",중개거래,1987,2022,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,2,18,11470-125,106.93,서울 양천구,312,11470,14,,
"73,000",중개거래,1999,2022,신정로,00293,00000,11470,01,0,3005066,신정동,1259,0000,11470,10100,1,신트리1,2,18,11470-138,49.8,"서울 구로구, 서울 양천구",1259,11470,9,,
"38,000",중개거래,2003,2022,중앙로23길,00022,00000,11470,01,0,4142365,신정동,1148,0007,11470,10100,1,로마아트빌,2,21,11470-186,61.808,서울 양천구,1148-7,11470,10,,
"78,800",중개거래,2008,2022,목동남로4길,00002,00000,11470,01,0,4142095,신정동,0201,0001,11470,10100,1,세양청마루2차주상복합,2,26,11470-4241,84.42,서울 양천구,201-1,11470,12,,
"125,000",중개거래,2000,2022,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,2,28,11470-126,113.91,서울 양천구,337,11470,7,,
"45,000",중개거래,2019,2022,목동중앙북로,00068,00000,11470,00,0,3114007,목동,0966,0000,11470,10200,1,목동에버하임,2,11,11470-5595,41.06,서울 강남구,966,11470,3,,
"164,000",중개거래,1997,2022,목동서로2길,00022,00000,11470,01,0,4142122,목동,0929,0000,11470,10200,1,목동청구한신아파트,2,17,11470-46,84.77,서울 양천구,929,11470,4,,
"130,000",중개거래,1985,2022,목동서로,00038,00000,11470,02,0,3114003,목동,0901,0000,11470,10200,1,목동신시가지1,2,21,11470-17,47.52,서울 양천구,901,11470,15,,
"44,500",중개거래,2004,2022,목동중앙본로19길,00014,00000,11470,01,0,4142162,목동,0315,0006,11470,10200,1,힐타운,2,26,11470-251,65.41,서울 양천구,315-6,11470,6,,
"10,500",직거래,2003,2022,오목로11길,00017,00006,11470,01,0,4142279,신월동,0485,0011,11470,10300,1,엘림,2,5,11470-4136,43.75,,485-11,11470,7,,
"109,000",중개거래,2020,2022,남부순환로83길,00048,00000,11470,01,,4142070,신월동,1077,0000,11470,10300,1,목동센트럴아이파크위브3단지,2,5,11470-5629,59.88,서울 양천구,1077,11470,12,,
