거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"148,250",중개거래,1988,2022,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,8,4,11470-120,66.24,서울 양천구,325,11470,3,,
"65,000",중개거래,2000,2022,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,8,17,11470-140,48.96,서울 양천구,1277,11470,3,,
"100,000",직거래,2004,2022,목동중앙서로,00037,00000,11470,01,0,3114008,목동,0951,0000,11470,10200,1,금호어울림,8,1,11470-271,84.99,,951,11470,4,,
"90,000",중개거래,2006,2022,목동중앙본로5길,00026,00000,11470,01,0,4142177,목동,0743,0019,11470,10200,1,상진지오밸리가동,8,5,11470-4003,105.73,서울 양천구,743-19,11470,1,,
"57,000",중개거래,2013,2022,목동중앙남로,00080,00000,11470,01,0,3114004,목동,0715,0003,11470,10200,1,동구햇살아파트2차,8,5,11470-4894,59.5,서울 양천구,715-3,11470,2,,
"45,500",중개거래,2019,2022,목동중앙북로,00068,00000,11470,00,0,3114007,목동,0966,0000,11470,10200,1,목동에버하임,8,10,11470-5595,41.06,서울 양천구,966,11470,8,,
"143,000",중개거래,1997,2022,목동서로2길,00022,00000,11470,01,0,4142122,목동,0929,0000,11470,10200,1,목동청구한신아파트,8,26,11470-46,84.76,서울 양천구,929,11470,12,,
"57,000",중개거래,1994,2022,목동중앙본로22길,00063,00000,11470,01,0,4142165,목동,0928,0000,11470,10200,1,건영,8,30,11470-2,84.39,서울 양천구,928,11470,3,,
"46,500",중개거래,2004,2022,가로공원로64길,00013,00000,11470,01,0,4142007,신월동,0166,0027,11470,10300,1,훼미리주상복합,8,1,11470-196,100.3,서울 강서구,166-27,11470,6,,
"47,500",중개거래,2004,2022,남부순환로,00297,00000,11470,02,0,2000003,신월동,0029,0007,11470,10300,1,행복한세상,8,5,11470-275,83.57,서울 양천구,29-7,11470,7,,
"65,000",중개거래,1988,2022,신월로,00099,00000,11470,02,0,3114010,신월동,0987,0001,11470,10300,1,신월시영,8,15,11470-83,50.67,서울 양천구,987-1,11470,10,,
"58,500",중개거래,2004,2022,화곡로3길,00034,00000,11470,01,0,4142417,신월동,1031,0000,11470,10300,1,신도브래뉴2차,8,17,11470-334,59.9,"서울 강서구, 서울 양천구",1031,11470,5,,
"75,500",중개거래,1988,2022,신월로,00099,00000,11470,02,0,3114010,신월동,0987,0001,11470,10300,1,신월시영,8,19,11470-83,59.49,서울 양천구,987-1,11470,12,,
"53,500",중개거래,2005,2022,월정로,00062,00000,11470,01,0,3005067,신월동,0447,0003,11470,10300,1,상아아름,8,19,11470-3941,98.31,서울 양천구,447-3,11470,1,,
"29,000",중개거래,2004,2022,오목로9길,00020,00000,11470,01,0,4142310,신월동,0487,0001,11470,10300,1,성림,8,23,11470-295,84.87,서울 양천구,487-1,11470,6,,
"17,500",중개거래,1999,2022,신월로,00220,00000,11470,02,0,3114010,신월동,0607,0001,11470,10300,1,동방,8,24,11470-72,27.69,서울 양천구,607-1,11470,10,,
"36,000",직거래,1987,2022,지양로,00101,00000,11470,01,0,3114013,신월동,0341,0001,11470,10300,1,길훈,8,25,11470-67,42.57,,341-1,11470,5,,
"54,000",중개거래,1997,2022,남부순환로65길,00006,00000,11470,01,0,4142056,신월동,0217,0002,11470,10300,1,나산,8,25,11470-68,84.18,서울 양천구,217-2,11470,16,,
