거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"32,700",,1987,2019,신정로13길,00035,00000,11470,01,0,4142258,신정동,0733,0031,11470,10100,1,수정,12,1,11470-135,51.3,,733-31,11470,5,,
"60,000",,2011,2019,신정이펜2로,00055,00000,11470,01,0,3114018,신정동,1322,0000,11470,10100,1,이펜하우스2단지,12,1,11470-4576,84.51,,1322,11470,5,,
"68,000",,2000,2019,신정로,00290,00000,11470,01,0,3005066,신정동,1276,0000,11470,10100,1,신트리3,12,1,11470-139,84.97,,1276,11470,16,,
"94,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,12,2,11470-123,55.02,,329,11470,6,,
"129,500",,2004,2019,목동동로,00177,00000,11470,01,0,3114001,신정동,0318,0012,11470,10100,1,목동삼성쉐르빌Ⅱ,12,2,11470-210,148.09,,318-12,11470,19,,
"129,000",,2003,2019,신목로,00043,00000,11470,01,0,3114009,신정동,1300,0000,11470,10100,1,명지해드는터,12,2,11470-184,115.48,,1300,11470,12,,
"50,800",,2003,2019,오목로35길,00005,00000,11470,01,0,4142294,신정동,0921,0011,11470,10100,1,보람쉬움,12,2,11470-162,76.68,,921-11,11470,15,,
"80,000",,1992,2019,신목로2길,00011,00000,11470,01,0,4142233,신정동,0336,0000,11470,10100,1,청구,12,2,11470-147,84.99,,336,11470,6,,
"81,000",,1992,2019,신목로,00009,00000,11470,01,0,3114009,신정동,0334,0000,11470,10100,1,쌍용,12,2,11470-142,84.63,,334,11470,13,,
"50,500",,2000,2019,신정로,00260,00000,11470,01,0,3005066,신정동,1277,0000,11470,10100,1,신트리4,12,2,11470-140,59.73,,1277,11470,3,,
"75,800",,1999,2019,신정로,00300,00000,11470,01,0,3005066,신정동,1273,0000,11470,10100,1,신정현대5,12,2,11470-137,89.36,,1273,11470,8,,
"88,500",,1999,2019,신정로,00300,00000,11470,01,0,3005066,신정동,1273,0000,11470,10100,1,신정현대5,12,2,11470-137,114.24,,1273,11470,11,,
"75,000",,2002,2019,신목로12길,00005,00000,11470,01,0,4142230,신정동,0340,0000,11470,10100,1,블레스빌,12,2,11470-131,79.43,,340,11470,6,,
"83,000",,2000,2019,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,12,2,11470-126,84.96,,337,11470,4,,
"136,000",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,12,2,11470-125,71.37,,312,11470,6,,
"177,000",,1987,2019,목동서로,00280,00000,11470,01,0,3114003,신정동,0314,0000,11470,10100,1,목동신시가지8,12,2,11470-124,105.35,,314,11470,11,,
"110,000",,1988,2019,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,12,3,11470-120,66.24,,325,11470,9,,
"59,000",,2002,2019,신정로7길,00060,00007,11470,01,0,4142262,신정동,1285,0000,11470,10100,1,푸른마을4,12,3,11470-170,84.81,,1285,11470,12,,
"37,000",,2000,2019,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,12,3,11470-153,49.98,,1293,11470,3,,
"71,500",,1992,2019,신목로2길,00011,00000,11470,01,0,4142233,신정동,0336,0000,11470,10100,1,청구,12,3,11470-147,84.99,,336,11470,1,,
