거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"80,000",,1988,2019,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,5,1,11470-120,66.24,,325,11470,10,,
"28,500",,1996,2019,오목로35길,00002,00000,11470,01,0,4142294,신정동,0917,0010,11470,10100,1,장미,5,1,11470-341,74.03,,917-10,11470,1,,
"118,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,5,1,11470-123,92.67,,329,11470,1,,
"80,000",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,5,1,11470-122,98.63,,327,11470,9,,
"93,500",,1987,2019,목동동로,00100,00000,11470,01,0,3114001,신정동,0327,0000,11470,10100,1,목동신시가지13,5,1,11470-122,70.73,,327,11470,3,,
"87,700",,1988,2019,목동동로,00050,00000,11470,01,0,3114001,신정동,0326,0000,11470,10100,1,목동신시가지12,5,1,11470-121,71.64,,326,11470,1,,
"92,500",,1988,2019,목동동로,00050,00000,11470,01,0,3114001,신정동,0326,0000,11470,10100,1,목동신시가지12,5,2,11470-121,71.64,,326,11470,12,,
"65,000",,2000,2019,목동남로4길,00006,00023,11470,01,0,4142095,신정동,0337,0000,11470,10100,1,목동우성2,5,2,11470-126,84.96,,337,11470,10,,
"70,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,5,2,11470-123,55.02,,329,11470,2,,
"30,500",,1987,2019,신정로13길,00035,00000,11470,01,0,4142258,신정동,0733,0031,11470,10100,1,수정,5,3,11470-135,48.6,,733-31,11470,5,,
"90,000",,1987,2019,목동동로,00130,00000,11470,01,0,3114001,신정동,0329,0000,11470,10100,1,목동신시가지14,5,4,11470-123,74.19,,329,11470,1,,
"34,900",,2000,2019,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,5,4,11470-153,49.99,,1293,11470,8,,
"40,000",,2001,2019,신정로11길,00063,00000,11470,01,0,4142256,신정동,1283,0000,11470,10100,1,푸른마을3,5,4,11470-151,59.91,,1283,11470,7,,
"76,000",,1996,2019,신목로,00007,00000,11470,01,0,3114009,신정동,1278,0000,11470,10100,1,목동삼성,5,4,11470-132,84.77,,1278,11470,3,,
"136,400",,1987,2019,목동서로,00340,00000,11470,01,0,3114003,신정동,0312,0000,11470,10100,1,목동신시가지9,5,4,11470-125,106.93,,312,11470,3,,
"35,200",,2000,2019,신정로14길,00006,00000,11470,01,0,4142259,신정동,1293,0000,11470,10100,1,학마을1단지,5,6,11470-153,49.99,,1293,11470,12,,
"62,500",,2004,2019,목동로,00163,00000,11470,01,0,3114002,신정동,1007,0011,11470,10100,1,이스타팰리스,5,7,11470-233,114.41,,1007-11,11470,11,,
"70,500",,1988,2019,목동동로,00010,00000,11470,01,0,3114001,신정동,0325,0000,11470,10100,1,목동신시가지11,5,8,11470-120,51.48,,325,11470,2,,
"128,000",,1987,2019,목동서로,00400,00000,11470,01,0,3114003,신정동,0311,0000,11470,10100,1,목동신시가지10,5,9,11470-119,105.58,,311,11470,7,,
